size temperature mag energy mag_sus sp_heat
10 2.16 0.836266 -160.282 1.06825 1.07236 
10 2.16 0.83657 -160.19 1.06232 1.079 
10 2.16 0.836548 -160.226 1.03091 1.07126 
10 2.16 0.837616 -160.539 1.0758 1.06477 
10 2.18 0.826544 -158.665 1.15118 1.08189 
10 2.18 0.824286 -158.131 1.18049 1.11609 
10 2.18 0.826804 -158.55 1.16429 1.10378 
10 2.18 0.825772 -158.401 1.13962 1.07949 
10 2.18 0.825532 -158.257 1.15664 1.10532 
10 2.2 0.812864 -156.244 1.28555 1.11177 
10 2.2 0.809064 -155.917 1.35528 1.1632 
10 2.2 0.808278 -155.536 1.32766 1.12799 
10 2.2 0.808214 -155.787 1.36317 1.14218 
10 2.2 0.812686 -156.194 1.32868 1.16813 
10 2.22 0.800746 -154.292 1.36533 1.14053 
10 2.22 0.79353 -153.337 1.487 1.19766 
10 2.22 0.799514 -153.824 1.41817 1.19507 
10 2.22 0.795794 -153.606 1.45896 1.17814 
10 2.22 0.795622 -153.686 1.46056 1.18634 
10 2.24 0.781818 -151.425 1.56776 1.1949 
10 2.24 0.781542 -151.416 1.56905 1.21934 
10 2.24 0.780464 -151.047 1.57417 1.23611 
10 2.24 0.782058 -151.404 1.56004 1.19089 
10 2.24 0.781348 -151.388 1.57202 1.21876 
10 2.26 0.766468 -148.963 1.67928 1.24669 
10 2.26 0.766256 -149.111 1.69226 1.21806 
10 2.26 0.766588 -148.868 1.6519 1.21589 
10 2.26 0.765864 -148.889 1.69507 1.23315 
10 2.26 0.761756 -148.446 1.72358 1.2558 
10 2.28 0.747968 -146.327 1.83737 1.26762 
10 2.28 0.744232 -145.92 1.91225 1.28779 
10 2.28 0.748198 -146.143 1.82318 1.25305 
10 2.28 0.74526 -146.064 1.89235 1.28626 
10 2.28 0.750076 -146.31 1.78489 1.24971 
10 2.3 0.726478 -143.355 2.0297 1.3042 
10 2.3 0.729334 -143.619 1.98392 1.28656 
