size temperature m m2 m4 ms e sp_h 
10 1.685 0.989612 0.979685 0.961092 0.0209288 -215.703 0.170159 
10 1.69 0.989264 0.979033 0.959934 0.0230591 -215.571 0.178229 
10 1.69 0.989096 0.978686 0.959217 0.0222049 -215.478 0.180973 
10 1.69 0.989366 0.979223 0.960261 0.0223525 -215.64 0.169602 
10 1.695 0.988748 0.978027 0.958015 0.0238745 -215.37 0.178849 
10 1.695 0.988446 0.977425 0.956837 0.0235791 -215.249 0.184924 
10 1.695 0.988968 0.978434 0.958731 0.0221956 -215.453 0.178842 
10 1.7 0.98812 0.976798 0.955675 0.0245215 -215.133 0.190783 
10 1.7 0.988328 0.977192 0.956383 0.023525 -215.2 0.183699 
10 1.7 0.988488 0.97754 0.957131 0.0253573 -215.303 0.18484 
10 1.705 0.98799 0.976571 0.955309 0.0261889 -215.091 0.192524 
10 1.705 0.988526 0.977564 0.957049 0.0223007 -215.243 0.18412 
10 1.705 0.988286 0.977131 0.956326 0.0247145 -215.199 0.18435 
10 1.71 0.988244 0.977043 0.956135 0.024353 -215.176 0.184523 
10 1.71 0.988094 0.976751 0.9556 0.0246484 -215.136 0.190743 
10 1.71 0.988188 0.97693 0.955923 0.0242384 -215.155 0.185813 
10 1.715 0.987846 0.976256 0.954617 0.0242752 -214.988 0.192537 
10 1.715 0.987786 0.976122 0.954304 0.0233737 -214.948 0.188918 
10 1.715 0.987864 0.97631 0.954775 0.0253246 -215.027 0.190478 
10 1.72 0.98776 0.976104 0.954378 0.0252478 -215.005 0.188609 
10 1.72 0.987876 0.976321 0.954761 0.0245424 -215.019 0.189529 
10 1.72 0.987572 0.97574 0.953689 0.025648 -214.902 0.195191 
10 1.725 0.98706 0.974781 0.951993 0.0286375 -214.746 0.202748 
10 1.725 0.987414 0.975464 0.953272 0.0276749 -214.921 0.197373 
10 1.725 0.987718 0.976015 0.954185 0.0247926 -214.953 0.192933 
10 1.73 0.987004 0.974638 0.951609 0.0266303 -214.676 0.197459 
10 1.73 0.986756 0.974168 0.950764 0.027757 -214.605 0.205136 
10 1.73 0.986994 0.974619 0.951582 0.0266731 -214.686 0.201792 
10 1.735 0.986858 0.974358 0.951099 0.0270275 -214.638 0.201926 
10 1.735 0.98674 0.974127 0.950652 0.0271684 -214.583 0.20261 
10 1.735 0.987238 0.975097 0.95249 0.0264053 -214.776 0.19418 
10 1.74 0.9862 0.973123 0.948895 0.0306092 -214.441 0.213211 
10 1.74 0.98716 0.974921 0.952082 0.0250399 -214.718 0.195271 
10 1.74 0.98633 0.973327 0.949127 0.0275799 -214.418 0.206947 
10 1.745 0.986346 0.973358 0.949187 0.0274801 -214.425 0.204942 
10 1.745 0.985738 0.972218 0.947164 0.0308582 -214.245 0.216784 
10 1.745 0.986302 0.973287 0.949104 0.0283968 -214.44 0.206085 
10 1.75 0.985986 0.972702 0.948082 0.0304713 -214.318 0.215682 
10 1.75 0.9861 0.972903 0.948402 0.0291103 -214.357 0.210961 
10 1.75 0.985812 0.972355 0.947395 0.0302892 -214.27 0.211176 
10 1.755 0.985926 0.972555 0.947712 0.0287568 -214.251 0.213881 
10 1.755 0.985762 0.972279 0.947285 0.0314507 -214.229 0.21047 
10 1.755 0.98597 0.972658 0.947943 0.029698 -214.314 0.205183 
10 1.76 0.985588 0.971891 0.946433 0.0288213 -214.124 0.21067 
10 1.76 0.985522 0.971776 0.946264 0.0296607 -214.148 0.212784 
10 1.76 0.985544 0.971833 0.946407 0.0304627 -214.135 0.219852 
10 1.765 0.985352 0.971454 0.945684 0.0303499 -214.074 0.217357 
10 1.765 0.985126 0.971022 0.944879 0.0311118 -214.023 0.214166 
10 1.765 0.985398 0.971571 0.945981 0.0318381 -214.116 0.219655 
10 1.77 0.984878 0.970588 0.944179 0.0340749 -213.935 0.225665 
10 1.77 0.985068 0.970964 0.94491 0.0341692 -213.982 0.223361 
10 1.77 0.98485 0.970543 0.944114 0.0346417 -213.919 0.225439 
10 1.775 0.984358 0.969611 0.942428 0.0366652 -213.756 0.231505 
10 1.775 0.984882 0.970524 0.943869 0.0299519 -213.853 0.219088 
10 1.775 0.984516 0.969844 0.942686 0.0322482 -213.747 0.228295 
10 1.78 0.984136 0.969104 0.941283 0.0325985 -213.601 0.231087 
10 1.78 0.984348 0.969533 0.942146 0.0332345 -213.705 0.227651 
10 1.78 0.984264 0.969348 0.941717 0.0321381 -213.638 0.225573 
10 1.785 0.983604 0.968115 0.939546 0.0357317 -213.439 0.237266 
10 1.785 0.98374 0.968358 0.939935 0.034376 -213.491 0.232188 
10 1.785 0.98433 0.969496 0.942063 0.0330807 -213.692 0.225469 
10 1.79 0.983728 0.968341 0.939935 0.0346515 -213.469 0.236878 
10 1.79 0.983278 0.967494 0.938422 0.0367695 -213.341 0.244104 
10 1.79 0.983658 0.968245 0.939861 0.036962 -213.491 0.237285 
10 1.795 0.982714 0.966411 0.936408 0.0380899 -213.123 0.248945 
10 1.795 0.98363 0.968213 0.939812 0.0381361 -213.452 0.235566 
10 1.795 0.983322 0.967568 0.938522 0.0359601 -213.35 0.238736 
10 1.8 0.98287 0.966693 0.936879 0.0366646 -213.196 0.238264 
10 1.8 0.983522 0.967915 0.939049 0.0333175 -213.36 0.233487 
10 1.8 0.982396 0.965814 0.935351 0.03957 -213.053 0.248801 
10 1.805 0.98283 0.96665 0.936897 0.0384948 -213.161 0.243838 
10 1.805 0.9825 0.965979 0.935544 0.0372604 -213.054 0.239999 
10 1.805 0.98283 0.966652 0.93688 0.0386012 -213.167 0.240238 
10 1.81 0.982084 0.965253 0.934399 0.0421866 -212.92 0.257395 
10 1.81 0.982296 0.965616 0.934959 0.0392623 -213.015 0.247116 
10 1.81 0.982258 0.965508 0.934661 0.0374222 -212.922 0.250597 
10 1.815 0.981908 0.96484 0.933436 0.0383713 -212.813 0.251204 
10 1.815 0.981926 0.964894 0.933582 0.0394276 -212.813 0.253054 
10 1.815 0.982156 0.965322 0.934339 0.0380866 -212.901 0.249062 
10 1.82 0.981902 0.964858 0.933551 0.0399177 -212.789 0.25651 
10 1.82 0.981666 0.964368 0.932545 0.0384519 -212.725 0.25353 
10 1.82 0.981274 0.963709 0.931582 0.0445064 -212.602 0.266856 
10 1.825 0.980946 0.963017 0.930132 0.0417504 -212.469 0.262086 
10 1.825 0.981022 0.963168 0.930429 0.0418737 -212.501 0.265396 
10 1.825 0.98092 0.963 0.930211 0.0436051 -212.509 0.26856 
10 1.83 0.980938 0.963003 0.930104 0.0417421 -212.464 0.25912 
10 1.83 0.980776 0.962708 0.929617 0.0429966 -212.413 0.268866 
10 1.83 0.981074 0.963262 0.930582 0.04129 -212.473 0.259449 
10 1.835 0.980422 0.962049 0.928434 0.044762 -212.261 0.274754 
10 1.835 0.98022 0.961657 0.927708 0.0449979 -212.251 0.270194 
10 1.835 0.980584 0.962306 0.92876 0.0414768 -212.326 0.258756 
10 1.84 0.979814 0.960956 0.926564 0.0500481 -212.141 0.279533 
10 1.84 0.980122 0.961446 0.927274 0.0438666 -212.169 0.275831 
10 1.84 0.979624 0.960539 0.925732 0.0476054 -212.054 0.276168 
10 1.845 0.979662 0.960596 0.925785 0.046513 -212.058 0.276562 
