J: 10.0714 1.25154 -0.104843 0 
nth temperature m m2 m4 ms e sp_h 
2 1.755 0.985398 0.971555 0.945906 0.0311169 -214.126 0.213592 
2 1.76 0.98561 0.97192 0.946445 0.0280277 -214.132 0.211777 
2 1.76 0.985662 0.972084 0.946959 0.0315081 -214.234 0.211603 
2 1.765 0.985522 0.971739 0.946075 0.0274826 -214.085 0.208175 
2 1.765 0.984644 0.970252 0.943876 0.0412619 -213.97 0.227953 
2 1.77 0.985362 0.971445 0.945569 0.0286378 -214.022 0.209345 
2 1.77 0.984856 0.970505 0.94394 0.0318384 -213.916 0.225095 
2 1.775 0.984148 0.969138 0.941387 0.0332842 -213.596 0.241937 
2 1.775 0.98443 0.96973 0.942628 0.0353361 -213.747 0.237991 
2 1.78 0.98407 0.968976 0.94103 0.0327031 -213.558 0.230039 
2 1.78 0.984668 0.970147 0.943274 0.0323399 -213.826 0.218664 
2 1.785 0.980094 0.963469 0.934416 0.161611 -213.211 0.275153 
2 1.785 0.983094 0.967173 0.937927 0.0391522 -213.329 0.244715 
2 1.79 0.982612 0.966242 0.936205 0.0399987 -213.239 0.24245 
2 1.79 0.984358 0.969527 0.942045 0.0316384 -213.65 0.223715 
2 1.795 0.9825 0.965984 0.935592 0.0377799 -213.017 0.257355 
2 1.795 0.98355 0.967964 0.939125 0.0330606 -213.37 0.230571 
2 1.8 0.983428 0.967693 0.938497 0.0312183 -213.257 0.225164 
2 1.8 0.981914 0.965015 0.934196 0.0477765 -212.96 0.257991 
2 1.805 0.981716 0.964552 0.933176 0.04352 -212.883 0.267226 
2 1.805 0.982714 0.966401 0.936367 0.037347 -213.154 0.241659 
2 1.81 0.982418 0.965892 0.935548 0.0412527 -213.046 0.247352 
2 1.81 0.982208 0.965376 0.934303 0.0355671 -212.871 0.242702 
2 1.815 0.981758 0.964564 0.932974 0.0393912 -212.765 0.257403 
2 1.815 0.981654 0.964431 0.932914 0.0433556 -212.799 0.254247 
2 1.82 0.98174 0.964469 0.932595 0.0360227 -212.753 0.236533 
2 1.82 0.981396 0.963842 0.931532 0.0386973 -212.564 0.258588 
2 1.825 0.981272 0.963618 0.931171 0.0396133 -212.537 0.259231 
2 1.825 0.980578 0.962385 0.929186 0.0466644 -212.441 0.266618 
2 1.83 0.981118 0.96328 0.930416 0.0375689 -212.457 0.257277 
2 1.83 0.980294 0.961829 0.928155 0.046616 -212.26 0.289991 
2 1.835 0.980652 0.962445 0.929053 0.0417861 -212.314 0.272105 
2 1.835 0.979754 0.960862 0.926556 0.0514299 -212.168 0.294086 
2 1.84 0.979388 0.960064 0.924785 0.0469057 -212.05 0.267743 
2 1.84 0.979024 0.959506 0.924157 0.0553482 -211.918 0.297749 
2 1.845 0.979252 0.959796 0.924292 0.0466775 -211.98 0.276114 
2 1.845 0.9792 0.959811 0.924591 0.0530298 -211.973 0.27989 
2 1.85 0.980176 0.961479 0.927113 0.039687 -212.137 0.263222 
2 1.85 0.978834 0.958984 0.922747 0.0469038 -211.702 0.284463 
2 1.855 0.977872 0.9572 0.91965 0.0521031 -211.412 0.301358 
2 1.855 0.97871 0.958699 0.922076 0.0445399 -211.637 0.277091 
2 1.86 0.977866 0.95726 0.919962 0.0558218 -211.497 0.301806 
2 1.86 0.978598 0.9585 0.921755 0.0454793 -211.609 0.273328 
2 1.865 0.978076 0.957576 0.920297 0.0506026 -211.496 0.290361 
2 1.865 0.977788 0.957008 0.919177 0.0503328 -211.359 0.290716 
2 1.87 0.975148 0.953226 0.914355 0.123661 -210.996 0.340363 
2 1.87 0.978572 0.958364 0.921234 0.0407038 -211.446 0.271195 
2 1.875 0.976978 0.955512 0.916618 0.0547343 -211.115 0.311162 
2 1.875 0.97676 0.955124 0.915932 0.0567201 -211.002 0.322805 
2 1.88 0.97655 0.954661 0.914952 0.0537818 -211.024 0.295881 
2 1.88 0.976502 0.954564 0.914739 0.0536279 -210.836 0.318082 
2 1.885 0.975904 0.953435 0.91274 0.0555131 -210.807 0.303266 
2 1.885 0.97699 0.955486 0.916421 0.0517825 -211.12 0.293223 
2 1.89 0.97567 0.953144 0.912562 0.0641318 -210.76 0.304824 
2 1.89 0.976096 0.953744 0.913111 0.0518624 -210.775 0.290634 
2 1.895 0.976978 0.955409 0.916099 0.0487234 -210.979 0.2953 
2 1.895 0.974678 0.951064 0.908302 0.0563143 -210.221 0.329346 
2 1.9 0.974538 0.950885 0.908226 0.0610761 -210.212 0.335713 
2 1.9 0.975082 0.951981 0.910274 0.0629649 -210.436 0.320557 
