J: 8.12169 1.2197 -0.0852344 0 
nth temperature m m2 m4 ms e sp_h 
2 1.24 0.996996 0.994077 0.988481 0.00610451 -218.645 0.0924161 
2 1.24 0.99692 0.993926 0.988185 0.00618981 -218.609 0.0931091 
2 1.245 0.996804 0.993693 0.987716 0.00602294 -218.553 0.0921088 
2 1.245 0.996878 0.993839 0.987999 0.00587736 -218.578 0.0923797 
2 1.25 0.996814 0.993717 0.987779 0.00632715 -218.558 0.0951504 
2 1.25 0.996658 0.993412 0.987196 0.00681528 -218.506 0.0986419 
2 1.255 0.996848 0.993781 0.98789 0.0059717 -218.572 0.0907049 
2 1.255 0.996648 0.993388 0.987132 0.00644176 -218.487 0.0968028 
2 1.26 0.996548 0.99319 0.986746 0.00655267 -218.433 0.0997403 
2 1.26 0.996536 0.993174 0.986741 0.00716196 -218.456 0.10176 
2 1.265 0.996504 0.993109 0.986608 0.00703383 -218.429 0.101121 
2 1.265 0.996454 0.993008 0.9864 0.00688268 -218.402 0.101217 
2 1.27 0.99646 0.99302 0.986428 0.00690617 -218.411 0.101001 
2 1.27 0.996464 0.993029 0.986445 0.0069336 -218.403 0.101805 
2 1.275 0.996088 0.992286 0.985 0.0074648 -218.242 0.108576 
2 1.275 0.996162 0.992437 0.985308 0.00768233 -218.29 0.109264 
2 1.28 0.996074 0.992261 0.984959 0.00763645 -218.245 0.109234 
2 1.28 0.99613 0.992371 0.985172 0.00753305 -218.258 0.109351 
2 1.285 0.996066 0.992246 0.984931 0.00765787 -218.233 0.110324 
2 1.285 0.996016 0.992144 0.984719 0.00746208 -218.205 0.108905 
2 1.29 0.995894 0.991907 0.984271 0.00788688 -218.161 0.112729 
2 1.29 0.995842 0.991807 0.984091 0.00823186 -218.141 0.117069 
2 1.295 0.995786 0.991694 0.983859 0.00805886 -218.1 0.117257 
2 1.295 0.995822 0.991767 0.984008 0.00814396 -218.127 0.11654 
2 1.3 0.995774 0.991672 0.983819 0.00813084 -218.098 0.115935 
2 1.3 0.995728 0.991585 0.983664 0.00848539 -218.104 0.116346 
2 1.305 0.995552 0.991241 0.983009 0.00900347 -218.027 0.12025 
2 1.305 0.995458 0.991049 0.982611 0.00861075 -217.966 0.121071 
2 1.31 0.995532 0.991198 0.982909 0.00866847 -218.006 0.119879 
2 1.31 0.995302 0.99075 0.98206 0.00945716 -217.914 0.126586 
2 1.315 0.995178 0.990504 0.981579 0.00951394 -217.851 0.129506 
2 1.315 0.995424 0.990979 0.982461 0.00834222 -217.927 0.120178 
2 1.32 0.995028 0.990204 0.980978 0.0093454 -217.78 0.12831 
2 1.32 0.995328 0.990798 0.982143 0.00912821 -217.921 0.121413 
2 1.325 0.995054 0.990255 0.981078 0.0092662 -217.786 0.127947 
2 1.325 0.995016 0.990184 0.980952 0.00959092 -217.78 0.130578 
2 1.33 0.995068 0.990289 0.981164 0.00967183 -217.808 0.127574 
2 1.33 0.995056 0.990266 0.981119 0.00970503 -217.797 0.129412 
2 1.335 0.994748 0.989661 0.979958 0.0103263 -217.674 0.135887 
2 1.335 0.99487 0.989899 0.980408 0.00992682 -217.726 0.131158 
2 1.34 0.99465 0.989466 0.979569 0.0102371 -217.63 0.13506 
2 1.34 0.99464 0.989444 0.979516 0.010059 -217.613 0.135419 
2 1.345 0.994566 0.989297 0.979229 0.0100841 -217.579 0.134562 
2 1.345 0.994482 0.989139 0.978949 0.0107354 -217.564 0.140407 
2 1.35 0.99446 0.98909 0.978833 0.0103191 -217.532 0.136662 
2 1.35 0.994548 0.989268 0.979198 0.0105686 -217.587 0.136772 
2 1.355 0.994382 0.988944 0.978578 0.0109637 -217.516 0.140739 
2 1.355 0.993982 0.988156 0.97705 0.0115235 -217.332 0.149817 
2 1.36 0.994156 0.9885 0.97772 0.0112947 -217.43 0.144292 
2 1.36 0.993916 0.988025 0.97679 0.0114783 -217.308 0.146707 
2 1.365 0.993802 0.987807 0.976392 0.0120634 -217.273 0.151228 
2 1.365 0.99384 0.987883 0.976545 0.0121065 -217.295 0.153471 
2 1.37 0.993774 0.987754 0.976297 0.0122392 -217.247 0.154332 
2 1.37 0.993926 0.988047 0.976841 0.0115231 -217.325 0.146266 
2 1.375 0.993964 0.988122 0.976986 0.0114361 -217.331 0.145859 
2 1.375 0.993778 0.987751 0.976251 0.0113721 -217.227 0.149628 
2 1.38 0.993628 0.987465 0.97573 0.0121882 -217.193 0.154431 
2 1.38 0.99354 0.987287 0.97537 0.0119963 -217.126 0.157189 
2 1.385 0.993378 0.986971 0.974768 0.0123804 -217.063 0.158056 
2 1.385 0.993208 0.986641 0.974141 0.0128887 -217.011 0.160541 
2 1.39 0.993054 0.986347 0.973606 0.0137348 -216.972 0.162778 
2 1.39 0.993214 0.986654 0.974171 0.0129317 -216.998 0.16096 
2 1.395 0.992964 0.986171 0.973268 0.0138505 -216.928 0.16709 
2 1.395 0.993006 0.986253 0.973423 0.0137408 -216.935 0.164958 
2 1.4 0.992728 0.985708 0.972375 0.0141941 -216.808 0.171256 
2 1.4 0.992956 0.986148 0.973197 0.0132959 -216.897 0.163737 
2 1.405 0.992812 0.985866 0.972656 0.0135354 -216.823 0.166497 
2 1.405 0.992612 0.985472 0.97189 0.0137379 -216.751 0.168616 
2 1.41 0.99256 0.985373 0.971715 0.0140373 -216.732 0.170517 
2 1.41 0.992626 0.985508 0.971992 0.0143194 -216.763 0.171275 
2 1.415 0.992424 0.985109 0.971211 0.0143579 -216.681 0.171386 
2 1.415 0.992352 0.984973 0.970971 0.0148854 -216.652 0.176083 
2 1.42 0.992528 0.985318 0.971635 0.0145077 -216.729 0.173025 
2 1.42 0.992242 0.984751 0.97052 0.0145418 -216.604 0.172911 
2 1.425 0.992018 0.984311 0.969674 0.0148609 -216.493 0.177239 
2 1.425 0.99193 0.984141 0.969354 0.0151323 -216.463 0.181468 
2 1.43 0.991836 0.983964 0.969038 0.0157251 -216.441 0.182964 
2 1.43 0.991958 0.984201 0.969482 0.0154018 -216.489 0.173338 
2 1.435 0.991494 0.983294 0.967755 0.0163016 -216.294 0.18892 
2 1.435 0.99153 0.983362 0.967876 0.0160543 -216.286 0.190481 
2 1.44 0.991262 0.982845 0.966907 0.0169561 -216.205 0.191945 
2 1.44 0.991462 0.983235 0.967649 0.0165016 -216.276 0.190186 
2 1.445 0.991638 0.983571 0.96827 0.0156039 -216.342 0.184333 
2 1.445 0.991384 0.983077 0.96733 0.0162273 -216.231 0.190567 
2 1.45 0.991124 0.982576 0.966397 0.0171598 -216.158 0.192858 
2 1.45 0.990914 0.982163 0.965604 0.0174431 -216.055 0.198516 
2 1.455 0.99075 0.981837 0.96496 0.0173029 -215.973 0.199585 
2 1.455 0.990746 0.981838 0.964988 0.0178697 -215.997 0.19977 
2 1.46 0.990842 0.982016 0.965298 0.016998 -216.021 0.195742 
2 1.46 0.990474 0.981304 0.963959 0.01816 -215.877 0.200397 
2 1.465 0.990254 0.980872 0.963128 0.0183546 -215.771 0.206692 
