size temperature m mag_sus 
32 2.292 0.589296 18.087 
32 2.292 0.590893 17.8908 
32 2.292 0.59108 17.3164 
32 2.293 0.590049 17.8058 
32 2.293 0.591165 17.5573 
32 2.293 0.589034 17.4193 
32 2.293 0.591506 17.3702 
32 2.293 0.586912 17.3159 
32 2.294 0.586351 18.0039 
32 2.294 0.588108 17.9018 
32 2.294 0.586627 17.357 
32 2.294 0.585962 17.8991 
32 2.294 0.58636 18.1741 
32 2.295 0.584529 17.6558 
32 2.295 0.583905 18.1573 
32 2.295 0.586527 17.4756 
32 2.295 0.586188 17.7307 
32 2.295 0.582325 18.4626 
32 2.296 0.580079 18.1202 
32 2.296 0.575658 18.4262 
32 2.296 0.581327 18.3589 
32 2.296 0.578952 18.1722 
32 2.296 0.578968 18.1972 
32 2.297 0.576816 18.3011 
32 2.297 0.571402 18.905 
32 2.297 0.575427 18.6588 
32 2.297 0.576409 18.3131 
32 2.297 0.577268 18.442 
32 2.298 0.578756 18.5542 
32 2.298 0.577245 18.0138 
32 2.298 0.576183 18.4658 
32 2.298 0.573472 18.5298 
32 2.298 0.576648 17.6878 
32 2.299 0.573644 18.1566 
32 2.299 0.572064 18.4082 
32 2.299 0.569798 18.8299 
32 2.299 0.573503 18.2577 
32 2.299 0.574935 17.9409 
32 2.3 0.567292 19.1325 
32 2.3 0.564734 19.319 
32 2.3 0.56761 19.1577 
32 2.3 0.568048 18.5247 
32 2.3 0.569977 18.5926 
32 2.301 0.56288 18.7643 
32 2.301 0.565313 18.7618 
32 2.301 0.564056 18.7281 
32 2.301 0.56479 18.5705 
32 2.301 0.567287 18.3953 
32 2.302 0.559463 19.1184 
32 2.302 0.560992 19.2461 
32 2.302 0.559566 19.3612 
32 2.302 0.56156 18.7056 
32 2.302 0.561697 19.0937 
32 2.303 0.559544 18.8369 
32 2.303 0.559089 19.2604 
32 2.303 0.562182 18.8358 
32 2.303 0.5593 19.0674 
32 2.303 0.556672 19.2036 
32 2.304 0.553959 19.2537 
32 2.304 0.558012 19.1827 
32 2.304 0.55604 19.4595 
32 2.304 0.556909 19.0193 
32 2.304 0.559207 19.1707 
32 2.305 0.549239 19.5342 
32 2.305 0.55008 19.2838 
32 2.305 0.550473 19.3188 
32 2.305 0.553766 19.0875 
32 2.305 0.557988 19.0749 
32 2.306 0.545571 19.4866 
32 2.306 0.552336 19.0107 
32 2.306 0.549228 19.3826 
32 2.306 0.548773 19.5893 
32 2.306 0.551984 19.097 
32 2.307 0.544991 19.663 
32 2.307 0.547915 19.5862 
32 2.307 0.552712 18.9887 
32 2.307 0.54369 19.6961 
32 2.307 0.550513 19.0738 
32 2.308 0.541187 19.7586 
32 2.308 0.542179 19.59 
32 2.308 0.545704 19.959 
32 2.308 0.546648 19.2551 
32 2.308 0.546291 19.3906 
32 2.309 0.544655 19.294 
32 2.309 0.542612 19.478 
32 2.309 0.542604 19.6645 
32 2.309 0.541757 19.5192 
32 2.309 0.543352 19.6408 
32 2.31 0.54125 19.5864 
32 2.31 0.53769 19.8883 
32 2.31 0.536908 19.5939 
32 2.31 0.533951 19.8114 
32 2.31 0.533896 20.1131 
32 2.311 0.539701 19.4491 
32 2.311 0.53822 19.8494 
32 2.311 0.537652 19.279 
32 2.311 0.534405 20.1829 
32 2.311 0.532194 19.8278 
32 2.312 0.529824 19.7207 
32 2.312 0.534562 19.9424 
32 2.312 0.529923 19.8321 
32 2.312 0.529835 19.7871 
32 2.312 0.530537 20.3685 
32 2.313 0.53006 20.0205 
32 2.313 0.529395 20.045 
32 2.313 0.529501 20.2526 
32 2.313 0.528524 20.0932 
32 2.313 0.5308 19.8484 
32 2.314 0.530053 19.6827 
32 2.314 0.52365 20.1455 
32 2.314 0.523296 20.4081 
32 2.314 0.523988 20.1341 
32 2.314 0.524007 20.3237 
32 2.315 0.525236 19.7446 
32 2.315 0.525901 19.9842 
32 2.315 0.525354 19.5946 
32 2.315 0.525637 19.8848 
32 2.315 0.527507 19.9909 
32 2.316 0.521279 20.2728 
32 2.316 0.521945 20.2561 
32 2.316 0.51882 20.2004 
32 2.316 0.523837 20.0182 
32 2.316 0.525787 20.0153 
32 2.317 0.519399 20.1559 
32 2.317 0.519078 20.2277 
32 2.317 0.517261 20.3779 
32 2.317 0.521376 19.6426 
32 2.317 0.517816 20.1569 
32 2.318 0.514459 20.3053 
32 2.318 0.517924 20.0342 
32 2.318 0.516226 19.8682 
32 2.318 0.512403 20.4254 
32 2.318 0.512974 20.4549 
32 2.319 0.515879 19.8827 
32 2.319 0.512878 20.2092 
32 2.319 0.518751 19.8748 
32 2.319 0.513144 20.1344 
32 2.319 0.511786 20.2188 
32 2.32 0.510912 20.1797 
32 2.32 0.507645 20.3421 
32 2.32 0.507876 20.0953 
32 2.32 0.5141 19.8791 
32 2.32 0.506817 20.3236 
32 2.321 0.502263 20.7024 
32 2.321 0.504057 20.3009 
32 2.321 0.502175 20.763 
32 2.321 0.507831 20.5034 
32 2.321 0.502823 20.6159 
32 2.322 0.499541 21.1266 
32 2.322 0.506915 20.4039 
32 2.322 0.502462 20.4292 
32 2.322 0.501455 20.8461 
32 2.322 0.505425 20.4248 
32 2.323 0.496537 20.7952 
32 2.323 0.501097 20.1939 
32 2.323 0.501006 20.5372 
32 2.323 0.498112 20.9734 
32 2.323 0.495971 20.9946 
32 2.324 0.496984 20.3667 
32 2.324 0.496011 20.2929 
32 2.324 0.490648 21.205 
32 2.324 0.495486 21.05 
32 2.324 0.498561 20.6783 
32 2.325 0.4945 20.1099 
32 2.325 0.495238 20.7778 
32 2.325 0.492687 20.9171 
32 2.325 0.498846 20.6885 
32 2.325 0.494174 20.367 
32 2.326 0.490746 20.5982 
32 2.326 0.492524 20.6722 
32 2.326 0.490637 21.0789 
32 2.326 0.490213 20.8551 
32 2.326 0.493076 20.059 
32 2.327 0.488188 20.5893 
32 2.327 0.486007 20.5902 
32 2.327 0.489339 20.4764 
32 2.327 0.48773 21.0154 
32 2.327 0.488276 20.272 
32 2.328 0.480436 20.8746 
32 2.328 0.48719 20.6302 
32 2.328 0.485765 20.3263 
32 2.328 0.480202 21.1472 
32 2.328 0.485478 20.8125 
32 2.329 0.482078 20.6752 
32 2.329 0.482599 20.6386 
32 2.329 0.481399 20.7818 
