size temperature m m2 m4 ms e sp_h  
20 1.83 0.980568 0.961721 0.925681 0.0450119 -849.421 0.267979 
20 1.835 0.980635 0.96184 0.925874 0.0425432 -849.358 0.267764 
20 1.835 0.980302 0.961197 0.924668 0.0445147 -849.065 0.26604 
20 1.835 0.980358 0.961308 0.92489 0.0449356 -849.12 0.27401 
20 1.84 0.979953 0.960516 0.923377 0.045331 -848.536 0.271232 
20 1.84 0.979941 0.960497 0.923352 0.0460248 -848.526 0.274174 
20 1.84 0.979822 0.960266 0.922916 0.0465611 -848.479 0.270703 
20 1.845 0.979401 0.959441 0.921328 0.0462394 -847.674 0.276995 
20 1.845 0.979608 0.959843 0.922091 0.0456063 -847.968 0.27669 
20 1.845 0.979365 0.959374 0.921214 0.0470417 -847.708 0.279199 
20 1.85 0.979196 0.959049 0.920617 0.0484851 -847.399 0.285148 
20 1.85 0.979295 0.959237 0.920958 0.047245 -847.574 0.279379 
20 1.85 0.979239 0.95913 0.920756 0.0474928 -847.525 0.283771 
20 1.855 0.978874 0.958408 0.919352 0.046091 -846.917 0.281159 
20 1.855 0.978624 0.957942 0.918538 0.05095 -846.802 0.290003 
20 1.855 0.978731 0.958138 0.91887 0.0482447 -846.771 0.287092 
20 1.86 0.97875 0.958178 0.918953 0.0486704 -846.74 0.284879 
20 1.86 0.978292 0.957293 0.917293 0.0508165 -846.19 0.288817 
20 1.86 0.978393 0.957497 0.91771 0.0523735 -846.399 0.293087 
20 1.865 0.978093 0.956909 0.91658 0.0519266 -845.932 0.293776 
20 1.865 0.978171 0.95706 0.91687 0.0518659 -846.055 0.29876 
20 1.865 0.978241 0.957185 0.917062 0.0490574 -846.009 0.287937 
20 1.87 0.977343 0.955447 0.913799 0.0527231 -844.923 0.294339 
20 1.87 0.977479 0.955708 0.914286 0.0519379 -845.025 0.293654 
20 1.87 0.977396 0.955541 0.913946 0.0506629 -844.794 0.297567 
20 1.875 0.977064 0.954907 0.912785 0.0536459 -844.522 0.298674 
20 1.875 0.977166 0.955102 0.913147 0.0528595 -844.665 0.299614 
20 1.875 0.977199 0.95517 0.913291 0.0536959 -844.732 0.299115 
20 1.88 0.976437 0.953682 0.910452 0.0536173 -843.585 0.303846 
20 1.88 0.976771 0.954339 0.91172 0.0545147 -844.076 0.306549 
20 1.88 0.976784 0.954366 0.911776 0.0549219 -844.088 0.300751 
20 1.885 0.976358 0.953543 0.910244 0.0569561 -843.619 0.30604 
20 1.885 0.97644 0.953701 0.910535 0.0563504 -843.632 0.31148 
20 1.885 0.976344 0.953506 0.910141 0.0549185 -843.44 0.304498 
20 1.89 0.975478 0.951834 0.907016 0.0584596 -842.413 0.315725 
20 1.89 0.9757 0.952265 0.907828 0.0579051 -842.587 0.316171 
20 1.89 0.975523 0.951938 0.907265 0.0619548 -842.503 0.321173 
20 1.895 0.975156 0.951203 0.905809 0.0578133 -841.854 0.3184 
20 1.895 0.975376 0.951633 0.90662 0.0576656 -842.17 0.310257 
20 1.895 0.975709 0.952278 0.907834 0.0567154 -842.527 0.309685 
20 1.9 0.974753 0.950429 0.904371 0.0598383 -841.278 0.320291 
20 1.9 0.975168 0.95123 0.905867 0.0581598 -841.858 0.313673 
20 1.9 0.974676 0.950287 0.904138 0.0619105 -841.343 0.32465 
20 1.905 0.974532 0.950022 0.903683 0.0648968 -841.13 0.333979 
20 1.905 0.974365 0.949677 0.902962 0.0607527 -840.745 0.321949 
20 1.905 0.974655 0.950237 0.904008 0.0597913 -841.103 0.318851 
20 1.91 0.973651 0.94831 0.90045 0.065538 -839.755 0.340835 
20 1.91 0.974244 0.949454 0.902579 0.0632192 -840.697 0.324642 
20 1.91 0.974007 0.948989 0.901683 0.0625987 -840.397 0.318911 
20 1.915 0.97342 0.947864 0.899618 0.0662587 -839.585 0.337836 
20 1.915 0.973561 0.94813 0.90009 0.0643902 -839.663 0.331676 
20 1.915 0.973551 0.948115 0.900078 0.0652333 -839.711 0.333988 
20 1.92 0.972713 0.946487 0.897008 0.0657832 -838.474 0.343612 
20 1.92 0.972918 0.94689 0.897786 0.0668782 -838.801 0.340815 
20 1.92 0.973226 0.947486 0.898898 0.0659046 -839.284 0.334259 
20 1.925 0.971972 0.945078 0.894455 0.0724605 -837.799 0.352882 
