J2 J3 temperature m m2 m4 ms e sp_h 
0.1 0.075 1.4 0.997318 0.994703 0.989668 0.00429478 -233.769 0.0619128 
0.1 0.075 1.405 0.997222 0.994512 0.989288 0.00428774 -233.721 0.0625424 
0.1 0.075 1.405 0.997286 0.99464 0.989544 0.00431275 -233.756 0.061929 
0.1 0.075 1.41 0.997294 0.994656 0.989578 0.00432323 -233.757 0.0625087 
0.1 0.075 1.41 0.997124 0.994321 0.988926 0.00460487 -233.682 0.0647801 
0.1 0.075 1.415 0.997026 0.994125 0.988537 0.00456787 -233.629 0.0666401 
0.1 0.075 1.415 0.996996 0.994069 0.988436 0.00480113 -233.623 0.0677676 
0.1 0.075 1.42 0.99707 0.994212 0.988704 0.00446304 -233.655 0.0639852 
0.1 0.075 1.42 0.997014 0.994105 0.988511 0.00482844 -233.631 0.0680978 
0.1 0.075 1.425 0.99695 0.993976 0.988249 0.00470018 -233.595 0.0678055 
0.1 0.075 1.425 0.99713 0.994332 0.988946 0.00449987 -233.681 0.0643776 
0.1 0.075 1.43 0.996948 0.993972 0.988238 0.00465212 -233.596 0.0666016 
0.1 0.075 1.43 0.997076 0.994225 0.988734 0.0045154 -233.655 0.0648264 
0.1 0.075 1.435 0.996768 0.993621 0.987571 0.0051982 -233.522 0.0720702 
0.1 0.075 1.435 0.99671 0.993504 0.987333 0.005091 -233.49 0.0719424 
0.1 0.075 1.44 0.996772 0.993624 0.987561 0.00485972 -233.518 0.0680814 
0.1 0.075 1.44 0.996648 0.993383 0.987102 0.00524195 -233.462 0.0734396 
0.1 0.075 1.445 0.99658 0.993248 0.986839 0.00530267 -233.431 0.0738728 
0.1 0.075 1.445 0.996676 0.993436 0.987198 0.00504298 -233.47 0.0715338 
0.1 0.075 1.45 0.996674 0.993433 0.987193 0.00507157 -233.471 0.0709596 
0.1 0.075 1.45 0.996546 0.993181 0.986705 0.0052931 -233.419 0.0731625 
0.1 0.075 1.455 0.996384 0.99286 0.986079 0.00544636 -233.341 0.075437 
0.1 0.075 1.455 0.996488 0.993066 0.986479 0.00531037 -233.387 0.0740302 
0.1 0.075 1.46 0.996354 0.992805 0.985984 0.0057169 -233.333 0.0781939 
0.1 0.075 1.46 0.996344 0.992785 0.985944 0.00571463 -233.323 0.0790152 
0.1 0.075 1.465 0.996258 0.992613 0.985604 0.00569812 -233.285 0.0779988 
0.1 0.075 1.465 0.996204 0.992509 0.985411 0.00594064 -233.266 0.0804784 
