J2 J3 temperature m m2 m4 ms e sp_h 
0.1 0.075 1.4 0.999468 0.998948 0.997941 0.000819784 -234.755 0.0120558 
0.1 0.075 1.405 0.999496 0.999003 0.998051 0.000784768 -234.768 0.0114648 
0.1 0.075 1.405 0.999466 0.998945 0.997939 0.000887889 -234.755 0.0128475 
0.1 0.075 1.41 0.99947 0.998952 0.997953 0.000856674 -234.757 0.0122142 
0.1 0.075 1.41 0.999462 0.998936 0.997919 0.000827699 -234.752 0.0118778 
0.1 0.075 1.415 0.99953 0.99907 0.99818 0.000705237 -234.782 0.0105459 
0.1 0.075 1.415 0.999482 0.998976 0.997997 0.000809306 -234.759 0.0120425 
0.1 0.075 1.42 0.999456 0.998925 0.997898 0.0008693 -234.751 0.0122569 
0.1 0.075 1.42 0.999412 0.998837 0.997725 0.000899595 -234.728 0.0132215 
0.1 0.075 1.425 0.999422 0.998858 0.99777 0.000950591 -234.736 0.0131325 
0.1 0.075 1.425 0.999418 0.998849 0.997751 0.000916581 -234.733 0.0131603 
0.1 0.075 1.43 0.999414 0.998841 0.997731 0.0008627 -234.728 0.0127447 
0.1 0.075 1.43 0.999402 0.998817 0.997688 0.00091765 -234.723 0.0134571 
0.1 0.075 1.435 0.99943 0.998873 0.997798 0.000894432 -234.738 0.0127257 
0.1 0.075 1.435 0.999394 0.998802 0.997658 0.000941656 -234.722 0.01336 
0.1 0.075 1.44 0.999404 0.998821 0.997692 0.000864221 -234.724 0.01262 
0.1 0.075 1.44 0.999374 0.998763 0.997583 0.00100334 -234.714 0.0138282 
0.1 0.075 1.445 0.999426 0.998864 0.997776 0.00082149 -234.733 0.0120506 
0.1 0.075 1.445 0.99935 0.998715 0.997487 0.000986678 -234.701 0.014008 
0.1 0.075 1.45 0.999328 0.998672 0.997406 0.00106679 -234.691 0.0148124 
0.1 0.075 1.45 0.99935 0.998714 0.997483 0.000944655 -234.698 0.0138264 
