nth step2 temp ene nn nnn nnnn 
3 1024 2.493 -172 -156 -132 -140
3 1024 2.493 -172 -156 -132 -140
3 1024 2.493 -172 -156 -132 -140
3 1024 2.493 -170.4 -156 -148 -152
3 1024 2.493 -166.4 -152 -132 -144
3 1024 2.493 -142.4 -132 -120 -124
3 1024 2.493 -159.2 -148 -148 -148
3 1024 2.493 -108 -100 -60 -52
3 1024 2.493 -177.6 -164 -160 -164
3 1024 2.493 -196.8 -180 -176 -176
3 1024 2.493 -89.6 -84 -48 -48
3 1024 2.493 -168.8 -156 -148 -140
3 1024 2.493 -104 -96 -68 -56
3 1024 2.493 -90.4 -84 -60 -36
3 1024 2.493 -139.2 -128 -100 -96
3 1024 2.493 -152.8 -140 -116 -108
3 1024 2.493 -170.4 -156 -140 -136
3 1024 2.493 -161.6 -148 -128 -108
3 1024 2.493 -151.2 -140 -132 -128
3 1024 2.493 -155.2 -144 -132 -124
3 1024 2.493 -187.2 -172 -168 -172
3 1024 2.493 -140.8 -132 -120 -120
3 1024 2.493 -160 -148 -136 -124
3 1024 2.493 -120.8 -112 -96 -76
3 1024 2.493 -165.6 -152 -136 -136
3 1024 2.493 -191.2 -176 -176 -176
3 1024 2.493 -173.6 -160 -168 -164
3 1024 2.493 -181.6 -168 -168 -168
3 1024 2.493 -165.6 -152 -136 -120
3 1024 2.493 -160.8 -148 -140 -140
3 1024 2.493 -125.6 -116 -92 -76
3 1024 2.493 -142.4 -132 -112 -112
3 1024 2.493 -177.6 -164 -160 -164
3 1024 2.493 -119.2 -112 -96 -100
3 1024 2.493 -120 -112 -100 -76
3 1024 2.493 -143.2 -132 -116 -104
3 1024 2.493 -178.4 -164 -164 -164
3 1024 2.493 -161.6 -148 -144 -132
3 1024 2.493 -164 -152 -144 -144
3 1024 2.493 -184 -168 -164 -164
3 1024 2.493 -136.8 -124 -116 -104
3 1024 2.493 -141.6 -132 -124 -136
3 1024 2.493 -206.4 -188 -184 -184
3 1024 2.493 -206.4 -188 -184 -184
3 1024 2.493 -173.6 -160 -152 -156
3 1024 2.493 -168.8 -156 -156 -152
3 1024 2.493 -146.4 -136 -128 -128
3 1024 2.493 -183.2 -168 -160 -168
3 1024 2.493 -121.6 -112 -76 -64
3 1024 2.493 -102.4 -96 -84 -88
3 1024 2.493 -80 -76 -48 -48
3 1024 2.493 -155.2 -144 -140 -140
3 1024 2.493 -114.4 -104 -72 -84
3 1024 2.493 -120 -112 -92 -76
3 1024 2.493 -160 -148 -144 -136
3 1024 2.493 -152.8 -140 -116 -124
3 1024 2.493 -148.8 -136 -108 -116
3 1024 2.493 -127.2 -116 -84 -104
3 1024 2.493 -130.4 -120 -104 -96
3 1024 2.493 -168.8 -156 -148 -148
3 1024 2.493 -200.8 -184 -184 -184
3 1024 2.493 -144 -132 -112 -96
3 1024 2.493 -148.8 -136 -108 -92
3 1024 2.493 -182.4 -168 -172 -168
3 1024 2.493 -152 -140 -128 -112
3 1024 2.493 -124 -116 -100 -92
3 1024 2.493 -154.4 -144 -136 -136
3 1024 2.493 -134.4 -124 -104 -104
3 1024 2.493 -133.6 -124 -100 -80
3 1024 2.493 -184 -168 -164 -160
3 1024 2.493 -183.2 -168 -160 -168
3 1024 2.493 -163.2 -152 -148 -148
3 1024 2.493 -152 -140 -120 -104
3 1024 2.493 -147.2 -136 -116 -108
3 1024 2.493 -155.2 -144 -132 -132
3 1024 2.493 -202.4 -184 -176 -180
3 1024 2.493 -178.4 -164 -156 -156
3 1024 2.493 -164.8 -152 -148 -148
3 1024 2.493 -156.8 -144 -132 -120
3 1024 2.493 -159.2 -148 -140 -132
3 1024 2.493 -187.2 -172 -168 -168
3 1024 2.493 -177.6 -164 -160 -160
3 1024 2.493 -177.6 -164 -160 -160
3 1024 2.493 -147.2 -136 -116 -112
3 1024 2.493 -159.2 -148 -140 -144
3 1024 2.493 -144.8 -132 -116 -104
3 1024 2.493 -200.8 -184 -184 -188
3 1024 2.493 -138.4 -128 -104 -96
3 1024 2.493 -108.8 -100 -80 -60
3 1024 2.493 -90.4 -84 -60 -28
3 1024 2.493 -130.4 -120 -96 -72
3 1024 2.493 -138.4 -128 -112 -108
3 1024 2.493 -187.2 -172 -168 -168
3 1024 2.493 -147.2 -136 -116 -124
3 1024 2.493 -144 -132 -112 -100
3 1024 2.493 -161.6 -148 -136 -140
3 1024 2.493 -167.2 -152 -136 -140
3 1024 2.493 -191.2 -176 -176 -176
3 1024 2.493 -184 -168 -156 -156
3 1024 2.493 -132.8 -124 -104 -96
3 1024 2.493 -206.4 -188 -184 -184
3 1024 2.493 -188 -172 -164 -164
3 1024 2.493 -160 -148 -136 -140
3 1024 2.493 -152 -140 -136 -136
3 1024 2.493 -220 -200 -200 -200
3 1024 2.493 -200.8 -184 -184 -184
3 1024 2.493 -183.2 -168 -160 -164
3 1024 2.493 -160 -148 -136 -124
3 1024 2.493 -142.4 -132 -120 -108
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -143.2 -132 -108 -104
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -165.6 -152 -144 -140
3 1024 2.493 -173.6 -160 -152 -152
3 1024 2.493 -164.8 -152 -148 -128
3 1024 2.493 -191.2 -176 -176 -184
3 1024 2.493 -160.8 -148 -140 -136
3 1024 2.493 -140.8 -132 -128 -132
3 1024 2.493 -112.8 -104 -80 -56
3 1024 2.493 -187.2 -172 -168 -168
3 1024 2.493 -166.4 -152 -132 -144
3 1024 2.493 -170.4 -156 -140 -148
3 1024 2.493 -122.4 -112 -88 -88
3 1024 2.493 -192 -176 -172 -168
3 1024 2.493 -200.8 -184 -184 -184
3 1024 2.493 -178.4 -164 -156 -152
3 1024 2.493 -168.8 -156 -156 -152
3 1024 2.493 -182.4 -168 -164 -160
3 1024 2.493 -164.8 -152 -140 -140
3 1024 2.493 -160 -148 -136 -128
3 1024 2.493 -138.4 -128 -104 -100
3 1024 2.493 -182.4 -168 -164 -160
3 1024 2.493 -170.4 -156 -140 -124
3 1024 2.493 -184.8 -168 -152 -160
3 1024 2.493 -120 -108 -56 -60
3 1024 2.493 -129.6 -120 -92 -112
3 1024 2.493 -149.6 -136 -112 -120
3 1024 2.493 -149.6 -136 -112 -120
3 1024 2.493 -140.8 -128 -108 -116
3 1024 2.493 -181.6 -168 -168 -168
3 1024 2.493 -181.6 -168 -168 -172
3 1024 2.493 -140.8 -132 -120 -128
3 1024 2.493 -210.4 -192 -192 -192
3 1024 2.493 -202.4 -184 -176 -180
3 1024 2.493 -99.2 -92 -80 -64
3 1024 2.493 -96.8 -92 -84 -64
3 1024 2.493 -97.6 -92 -80 -52
3 1024 2.493 -156.8 -144 -124 -124
3 1024 2.493 -120 -112 -92 -96
3 1024 2.493 -67.2 -64 -28 -16
3 1024 2.493 -116.8 -108 -88 -92
3 1024 2.493 -120.8 -112 -96 -96
3 1024 2.493 -129.6 -120 -108 -92
3 1024 2.493 -174.4 -160 -156 -156
3 1024 2.493 -170.4 -156 -140 -144
3 1024 2.493 -143.2 -132 -108 -108
3 1024 2.493 -137.6 -128 -116 -104
3 1024 2.493 -152.8 -140 -124 -112
3 1024 2.493 -187.2 -172 -168 -168
3 1024 2.493 -124 -116 -100 -100
3 1024 2.493 -178.4 -164 -156 -144
3 1024 2.493 -144 -132 -104 -92
3 1024 2.493 -147.2 -136 -116 -104
3 1024 2.493 -162.4 -152 -152 -152
3 1024 2.493 -134.4 -124 -112 -108
3 1024 2.493 -142.4 -132 -120 -108
3 1024 2.493 -152 -140 -128 -120
3 1024 2.493 -150.4 -140 -128 -124
3 1024 2.493 -152 -140 -128 -116
3 1024 2.493 -132.8 -124 -112 -104
3 1024 2.493 -183.2 -168 -160 -164
3 1024 2.493 -192.8 -176 -168 -168
3 1024 2.493 -125.6 -116 -100 -60
3 1024 2.493 -188 -172 -164 -160
3 1024 2.493 -187.2 -172 -168 -168
3 1024 2.493 -142.4 -132 -120 -112
3 1024 2.493 -151.2 -140 -124 -120
3 1024 2.493 -137.6 -128 -108 -112
3 1024 2.493 -128.8 -120 -104 -76
3 1024 2.493 -180 -164 -156 -156
3 1024 2.493 -168.8 -156 -148 -152
3 1024 2.493 -134.4 -124 -104 -96
3 1024 2.493 -179.2 -164 -152 -160
3 1024 2.493 -156 -144 -128 -132
3 1024 2.493 -165.6 -152 -152 -140
3 1024 2.493 -120.8 -112 -104 -88
3 1024 2.493 -120.8 -112 -104 -88
3 1024 2.493 -147.2 -136 -116 -128
3 1024 2.493 -166.4 -152 -140 -140
3 1024 2.493 -148 -136 -112 -100
3 1024 2.493 -128.8 -120 -104 -104
3 1024 2.493 -104 -96 -60 -56
3 1024 2.493 -115.2 -108 -96 -92
3 1024 2.493 -95.2 -88 -56 -40
3 1024 2.493 -148 -136 -120 -112
3 1024 2.493 -114.4 -108 -84 -68
3 1024 2.493 -187.2 -172 -168 -168
3 1024 2.493 -160.8 -148 -132 -136
3 1024 2.493 -130.4 -120 -96 -104
3 1024 2.493 -133.6 -124 -116 -112
3 1024 2.493 -114.4 -108 -92 -80
3 1024 2.493 -155.2 -144 -140 -136
3 1024 2.493 -154.4 -144 -136 -136
3 1024 2.493 -166.4 -152 -132 -116
3 1024 2.493 -160.8 -148 -132 -120
3 1024 2.493 -153.6 -140 -120 -116
3 1024 2.493 -152 -140 -120 -104
3 1024 2.493 -220 -200 -200 -200
3 1024 2.493 -141.6 -132 -116 -100
3 1024 2.493 -156 -144 -128 -120
3 1024 2.493 -151.2 -140 -140 -136
3 1024 2.493 -143.2 -132 -108 -112
3 1024 2.493 -148 -136 -112 -100
3 1024 2.493 -160.8 -148 -140 -140
3 1024 2.493 -180.8 -164 -144 -128
3 1024 2.493 -112 -104 -76 -60
3 1024 2.493 -159.2 -148 -140 -140
3 1024 2.493 -170.4 -156 -148 -148
3 1024 2.493 -112 -104 -76 -52
3 1024 2.493 -138.4 -128 -120 -112
3 1024 2.493 -147.2 -136 -132 -104
3 1024 2.493 -144 -132 -120 -112
3 1024 2.493 -144 -132 -120 -112
3 1024 2.493 -92 -88 -96 -80
3 1024 2.493 -147.2 -136 -140 -128
3 1024 2.493 -134.4 -124 -96 -84
3 1024 2.493 -166.4 -152 -132 -128
3 1024 2.493 -137.6 -124 -104 -96
3 1024 2.493 -137.6 -124 -104 -96
3 1024 2.493 -127.2 -116 -84 -76
3 1024 2.493 -170.4 -156 -140 -144
3 1024 2.493 -153.6 -140 -120 -116
3 1024 2.493 -119.2 -112 -88 -76
3 1024 2.493 -141.6 -132 -116 -108
3 1024 2.493 -192 -176 -172 -168
3 1024 2.493 -156 -144 -128 -112
3 1024 2.493 -183.2 -168 -160 -160
3 1024 2.493 -175.2 -160 -144 -148
3 1024 2.493 -170.4 -156 -148 -144
3 1024 2.493 -140.8 -132 -136 -132
3 1024 2.493 -133.6 -124 -124 -124
3 1024 2.493 -170.4 -156 -148 -152
3 1024 2.493 -170.4 -156 -148 -152
3 1024 2.493 -184 -168 -164 -156
3 1024 2.493 -119.2 -108 -76 -72
3 1024 2.493 -127.2 -116 -84 -64
3 1024 2.493 -176 -160 -140 -140
3 1024 2.493 -147.2 -136 -124 -108
3 1024 2.493 -164 -152 -144 -148
3 1024 2.493 -168.8 -156 -156 -156
3 1024 2.493 -126.4 -116 -80 -68
3 1024 2.493 -120.8 -108 -60 -52
3 1024 2.493 -125.6 -112 -64 -44
3 1024 2.493 -145.6 -132 -104 -108
3 1024 2.493 -133.6 -124 -100 -88
3 1024 2.493 -168 -156 -152 -152
3 1024 2.493 -183.2 -168 -160 -168
3 1024 2.493 -150.4 -140 -128 -136
3 1024 2.493 -175.2 -160 -160 -156
3 1024 2.493 -116.8 -108 -80 -64
3 1024 2.493 -148 -136 -112 -104
3 1024 2.493 -165.6 -152 -136 -124
3 1024 2.493 -197.6 -180 -180 -176
3 1024 2.493 -142.4 -132 -112 -112
3 1024 2.493 -129.6 -120 -92 -92
3 1024 2.493 -133.6 -128 -128 -144
3 1024 2.493 -148 -136 -112 -96
3 1024 2.493 -147.2 -136 -124 -124
3 1024 2.493 -173.6 -160 -152 -164
3 1024 2.493 -96 -88 -52 -24
3 1024 2.493 -148.8 -136 -116 -100
3 1024 2.493 -158.4 -148 -144 -148
3 1024 2.493 -132.8 -124 -112 -104
3 1024 2.493 -172.8 -160 -156 -156
3 1024 2.493 -110.4 -104 -84 -44
3 1024 2.493 -220 -200 -200 -200
3 1024 2.493 -196.8 -180 -176 -176
3 1024 2.493 -206.4 -188 -184 -184
3 1024 2.493 -178.4 -164 -156 -152
3 1024 2.493 -147.2 -136 -116 -104
3 1024 2.493 -126.4 -116 -80 -84
3 1024 2.493 -156.8 -144 -132 -140
3 1024 2.493 -147.2 -136 -132 -132
3 1024 2.493 -106.4 -100 -84 -68
3 1024 2.493 -112.8 -104 -88 -72
3 1024 2.493 -110.4 -104 -76 -64
3 1024 2.493 -187.2 -172 -168 -172
3 1024 2.493 -187.2 -172 -168 -168
3 1024 2.493 -152.8 -140 -124 -128
3 1024 2.493 -174.4 -160 -148 -144
3 1024 2.493 -180 -164 -156 -156
3 1024 2.493 -151.2 -140 -132 -132
