size temperature err_m err_ms
48 2.215 0.00188112 0.392468
48 2.215 0.00201551 0.399664
48 2.215 0.00201158 0.407346
48 2.215 0.00202668 0.621896
48 2.215 0.0021365 0.476317
48 2.216 0.00185049 0.479537
48 2.216 0.00230624 0.427287
48 2.216 0.00179241 0.758408
48 2.216 0.00215245 0.521108
48 2.216 0.00213241 0.422111
48 2.217 0.00216211 0.56367
48 2.217 0.0021292 0.467275
48 2.217 0.00202074 0.516916
48 2.217 0.00235803 0.695317
48 2.217 0.00208794 0.557516
48 2.218 0.00207824 0.58267
48 2.218 0.00203745 0.505551
48 2.218 0.00200458 0.626988
48 2.218 0.00175375 0.404073
48 2.218 0.00192009 0.360287
48 2.219 0.00237284 0.662338
48 2.219 0.00224796 0.556295
48 2.219 0.00194148 0.392229
48 2.219 0.00194441 0.455011
48 2.219 0.00220895 0.531364
48 2.22 0.00205624 0.441305
48 2.22 0.00240059 0.487679
48 2.22 0.00236312 0.593905
48 2.22 0.00269236 0.681711
48 2.22 0.00201988 0.460122
48 2.221 0.00230245 0.604929
48 2.221 0.00206784 0.442469
48 2.221 0.00222992 0.646191
48 2.221 0.00244514 0.741124
48 2.221 0.00244063 0.575499
48 2.222 0.002324 0.583774
48 2.222 0.00208829 0.444992
48 2.222 0.00239408 0.469609
48 2.222 0.00217987 0.536068
48 2.222 0.00227167 0.67558
48 2.223 0.00236396 0.584907
48 2.223 0.00246817 0.578184
48 2.223 0.00244392 0.511754
48 2.223 0.00251467 0.513561
48 2.223 0.00241499 0.563407
48 2.224 0.001945 0.496902
48 2.224 0.00245611 0.569358
48 2.224 0.00231872 0.480164
48 2.224 0.00265195 0.809954
48 2.224 0.00216144 0.504187
48 2.225 0.00246903 0.567241
48 2.225 0.00265419 0.66442
48 2.225 0.00222962 0.607941
48 2.225 0.00260702 0.695026
48 2.225 0.00262054 0.555245
48 2.226 0.00253796 0.728805
48 2.226 0.00251263 0.575329
48 2.226 0.00228507 0.591007
48 2.226 0.00217797 0.534643
48 2.226 0.00211812 0.497727
48 2.227 0.00251857 0.467195
48 2.227 0.00176965 0.495871
48 2.227 0.00259847 0.743193
48 2.227 0.00243907 0.65965
48 2.227 0.00232943 0.512389
48 2.228 0.00251959 0.727724
48 2.228 0.00246785 0.564106
48 2.228 0.00251315 0.802364
48 2.228 0.00225244 0.55855
48 2.228 0.00272471 0.786145
48 2.229 0.00271266 0.661109
48 2.229 0.00227808 0.632321
48 2.229 0.00231354 0.588538
48 2.229 0.00240496 0.723858
48 2.229 0.0021697 0.703044
48 2.23 0.0022229 0.656106
48 2.23 0.00206024 0.639214
48 2.23 0.00235115 0.832001
48 2.23 0.00233169 0.608403
