size temperature m m2 m4 ms e sp_h 
40 1.72 0.987611 0.975402 0.951512 0.0247586 -3438.7 0.189026 
40 1.72 0.987549 0.975282 0.951283 0.0260658 -3438.33 0.195794 
40 1.72 0.987527 0.975237 0.951193 0.0254942 -3438.5 0.191685 
40 1.725 0.987298 0.974786 0.950321 0.0269799 -3436.99 0.20472 
40 1.725 0.987307 0.974803 0.950352 0.0265846 -3437 0.1979 
40 1.725 0.987328 0.974845 0.950434 0.0266519 -3437.2 0.198019 
40 1.73 0.98699 0.974177 0.949132 0.0262494 -3435.13 0.196089 
40 1.73 0.987095 0.974385 0.94954 0.0269778 -3435.78 0.199594 
40 1.73 0.98698 0.974158 0.949098 0.0270002 -3435.05 0.199659 
40 1.735 0.98682 0.973843 0.948485 0.0271909 -3434.17 0.199247 
40 1.735 0.986842 0.973887 0.948571 0.0272777 -3434.23 0.200237 
40 1.735 0.986752 0.973709 0.948226 0.0276013 -3433.7 0.201291 
40 1.74 0.98659 0.97339 0.947604 0.0276801 -3432.51 0.203429 
40 1.74 0.986512 0.973237 0.947307 0.0276639 -3432.12 0.202252 
40 1.74 0.986528 0.973268 0.947369 0.0282638 -3432.22 0.208641 
40 1.745 0.986231 0.972685 0.946242 0.0299007 -3430.66 0.211178 
40 1.745 0.986206 0.972635 0.94614 0.0289058 -3430.35 0.208741 
40 1.745 0.986318 0.972855 0.946567 0.028404 -3431.1 0.205946 
40 1.75 0.986054 0.972334 0.945557 0.0290861 -3429.49 0.210888 
40 1.75 0.985992 0.972212 0.945317 0.0285501 -3429.15 0.203698 
40 1.75 0.98594 0.972109 0.945122 0.0295835 -3428.87 0.209629 
40 1.755 0.985652 0.971544 0.944027 0.0305312 -3426.96 0.216051 
40 1.755 0.985731 0.971699 0.944326 0.0302257 -3427.45 0.217602 
40 1.755 0.98562 0.971479 0.943901 0.0303729 -3426.94 0.213021 
40 1.76 0.985517 0.971277 0.943508 0.0304964 -3426.18 0.214003 
40 1.76 0.985364 0.970976 0.942926 0.0306922 -3425.43 0.217599 
40 1.76 0.985527 0.971296 0.943542 0.0295637 -3426.29 0.21179 
40 1.765 0.985185 0.970625 0.942247 0.0315296 -3424.43 0.220416 
40 1.765 0.98518 0.970614 0.942225 0.0314329 -3424.23 0.21919 
