size temperature m m2 m4 ms 
80 2.135 0.846603 0.717221 0.515767 1.45239 
80 2.135 0.846972 0.717846 0.516661 1.44921 
80 2.135 0.847009 0.717914 0.51677 1.46621 
80 2.136 0.846055 0.716301 0.514463 1.47325 
80 2.136 0.846291 0.716705 0.515059 1.49125 
80 2.136 0.846257 0.716639 0.514935 1.45929 
80 2.136 0.846543 0.717121 0.515625 1.45632 
80 2.136 0.846238 0.716604 0.514883 1.45477 
80 2.137 0.845403 0.71521 0.512934 1.50755 
80 2.137 0.845488 0.715349 0.513121 1.49346 
80 2.137 0.84534 0.715084 0.512702 1.44959 
80 2.137 0.845897 0.716008 0.513972 1.39387 
80 2.137 0.845672 0.715663 0.513576 1.50236 
80 2.138 0.844798 0.714185 0.511457 1.49895 
80 2.138 0.845002 0.714549 0.51203 1.56154 
80 2.138 0.844363 0.713474 0.510506 1.57293 
80 2.138 0.844459 0.713626 0.510694 1.54137 
80 2.138 0.844823 0.714213 0.511463 1.45979 
80 2.139 0.844544 0.713766 0.510886 1.53012 
80 2.139 0.844139 0.713078 0.509891 1.51623 
80 2.139 0.843952 0.712783 0.509525 1.58175 
80 2.139 0.84386 0.712635 0.509334 1.60077 
80 2.139 0.84421 0.713206 0.5101 1.54348 
80 2.14 0.843422 0.711886 0.508232 1.57303 
80 2.14 0.843532 0.712065 0.508479 1.553 
80 2.14 0.84377 0.712454 0.508999 1.5131 
80 2.14 0.843441 0.71193 0.508328 1.60514 
80 2.14 0.843064 0.711301 0.507456 1.62768 
80 2.141 0.842438 0.710232 0.505895 1.58491 
80 2.141 0.8425 0.710335 0.506039 1.57846 
80 2.141 0.842462 0.710289 0.506018 1.63238 
80 2.141 0.842761 0.710765 0.506632 1.55343 
80 2.141 0.842381 0.710166 0.505887 1.67448 
80 2.142 0.842026 0.709533 0.504893 1.5684 
80 2.142 0.841991 0.709508 0.504942 1.67054 
80 2.142 0.841975 0.709464 0.504841 1.62149 
80 2.142 0.841869 0.709281 0.504563 1.60507 
80 2.142 0.841558 0.708776 0.5039 1.66198 
80 2.143 0.840726 0.707376 0.50191 1.65847 
80 2.143 0.84149 0.708636 0.503633 1.5845 
80 2.143 0.841165 0.708103 0.502917 1.62838 
80 2.143 0.841096 0.708006 0.502823 1.68071 
80 2.143 0.841224 0.70819 0.503007 1.59095 
80 2.144 0.840808 0.707496 0.502035 1.60465 
80 2.144 0.84045 0.706903 0.501219 1.63084 
80 2.144 0.840237 0.706557 0.500763 1.66747 
80 2.144 0.840131 0.706383 0.500523 1.67784 
80 2.144 0.840747 0.707407 0.501942 1.64771 
80 2.145 0.839256 0.704932 0.498524 1.73443 
80 2.145 0.839579 0.705478 0.499302 1.74661 
80 2.145 0.839946 0.706072 0.500079 1.67943 
80 2.145 0.839719 0.7057 0.499582 1.70762 
80 2.145 0.840075 0.706288 0.500386 1.67717 
80 2.146 0.838852 0.704241 0.497519 1.69599 
80 2.146 0.838541 0.70373 0.496815 1.72584 
80 2.146 0.838806 0.704183 0.497473 1.74994 
80 2.146 0.838681 0.703954 0.497107 1.69546 
80 2.146 0.839186 0.704802 0.498309 1.69952 
80 2.147 0.838034 0.702905 0.495728 1.80361 
80 2.147 0.838128 0.703035 0.495836 1.72108 
80 2.147 0.838106 0.703 0.495792 1.72405 
80 2.147 0.837711 0.702362 0.494954 1.7967 
80 2.147 0.837777 0.702459 0.495057 1.75485 
80 2.148 0.836964 0.701104 0.493169 1.77618 
80 2.148 0.837178 0.701477 0.493718 1.81789 
80 2.148 0.837067 0.701298 0.493488 1.83635 
80 2.148 0.837675 0.702283 0.494796 1.73903 
80 2.148 0.837814 0.702519 0.495134 1.74784 
80 2.149 0.836674 0.700611 0.492455 1.75104 
80 2.149 0.836601 0.700494 0.492303 1.76226 
80 2.149 0.836597 0.700492 0.49232 1.78041 
80 2.149 0.836461 0.700261 0.49199 1.77201 
80 2.149 0.836402 0.700178 0.491902 1.81382 
80 2.15 0.835659 0.69896 0.49027 1.88836 
80 2.15 0.835993 0.699464 0.490831 1.72888 
80 2.15 0.83539 0.698495 0.489569 1.83863 
80 2.15 0.835374 0.69847 0.489542 1.84535 
80 2.15 0.835789 0.699161 0.490497 1.8391 
80 2.151 0.834741 0.697431 0.488136 1.90119 
80 2.151 0.835291 0.698329 0.489337 1.83926 
80 2.151 0.834985 0.697832 0.488683 1.88285 
80 2.151 0.835096 0.698017 0.488931 1.87736 
80 2.151 0.835219 0.698218 0.489205 1.86721 
80 2.152 0.834344 0.696745 0.487121 1.83067 
80 2.152 0.834092 0.696341 0.486595 1.87566 
80 2.152 0.834277 0.69664 0.486992 1.84931 
80 2.152 0.834626 0.697231 0.487832 1.87511 
80 2.152 0.834004 0.696182 0.486346 1.84406 
80 2.153 0.833673 0.695651 0.485652 1.90202 
80 2.153 0.833508 0.695355 0.485201 1.84314 
80 2.153 0.833592 0.695521 0.48549 1.91636 
80 2.153 0.833347 0.695103 0.484884 1.89166 
80 2.153 0.833083 0.694692 0.484377 1.97394 
80 2.154 0.832691 0.69401 0.483365 1.88658 
80 2.154 0.832613 0.693897 0.483246 1.93844 
80 2.154 0.832509 0.693731 0.483029 1.95763 
80 2.154 0.832871 0.694294 0.483722 1.84485 
80 2.154 0.832386 0.693518 0.482718 1.93454 
80 2.155 0.831521 0.692092 0.480772 1.97558 
80 2.155 0.83207 0.692988 0.481973 1.92034 
80 2.155 0.831507 0.692083 0.480795 2.01973 
80 2.155 0.831983 0.692849 0.481795 1.9404 
80 2.155 0.832063 0.692987 0.481996 1.95321 
80 2.156 0.831247 0.691615 0.480057 1.91054 
80 2.156 0.831027 0.691276 0.479651 1.9878 
80 2.156 0.831126 0.691445 0.479899 2.0013 
80 2.156 0.830842 0.690997 0.479332 2.07397 
80 2.156 0.83071 0.690782 0.479056 2.08845 
80 2.157 0.82993 0.68949 0.477269 2.09657 
80 2.157 0.830569 0.690498 0.478538 1.939 
80 2.157 0.82965 0.689038 0.476673 2.13192 
80 2.157 0.830463 0.690347 0.478397 2.01497 
80 2.157 0.829927 0.689482 0.477262 2.08703 
80 2.158 0.829335 0.688483 0.475839 2.03849 
80 2.158 0.8289 0.687778 0.474908 2.0849 
80 2.158 0.829296 0.688427 0.475787 2.05988 
80 2.158 0.828998 0.688005 0.475356 2.27659 
80 2.158 0.829156 0.688208 0.475515 2.10164 
80 2.159 0.82827 0.686737 0.473476 2.09076 
80 2.159 0.828042 0.686371 0.473004 2.12773 
80 2.159 0.828481 0.687091 0.473974 2.10571 
80 2.159 0.828737 0.687519 0.474582 2.11704 
80 2.159 0.828928 0.687845 0.47505 2.14324 
80 2.16 0.827608 0.685667 0.472073 2.17046 
80 2.16 0.827468 0.685402 0.471633 2.06936 
80 2.16 0.827251 0.68505 0.471169 2.08907 
80 2.16 0.827976 0.68625 0.472811 2.08951 
80 2.16 0.82697 0.684629 0.470693 2.21997 
80 2.161 0.826824 0.684367 0.470287 2.16263 
80 2.161 0.826382 0.683661 0.469367 2.23285 
80 2.161 0.826489 0.683809 0.469512 2.14683 
80 2.161 0.826633 0.684055 0.469866 2.17117 
80 2.161 0.826655 0.68409 0.469907 2.16631 
80 2.162 0.825326 0.681939 0.467076 2.29671 
80 2.162 0.825757 0.682623 0.467951 2.21619 
80 2.162 0.825845 0.68276 0.468114 2.19067 
80 2.162 0.825394 0.682068 0.467272 2.34795 
80 2.162 0.825869 0.682806 0.468189 2.20817 
80 2.163 0.824527 0.680595 0.465185 2.22107 
