size temperature m m2 m4 ms 
16 2.27 0.711786 0.543732 0.345532 4.1831 
16 2.27 0.713431 0.545724 0.347482 4.14338 
16 2.271 0.709231 0.540191 0.342199 4.19136 
16 2.271 0.712998 0.545561 0.34788 4.19269 
16 2.271 0.711072 0.542529 0.343866 4.16022 
16 2.271 0.710726 0.542354 0.344047 4.19601 
16 2.271 0.714483 0.545251 0.345361 3.91899 
16 2.272 0.707073 0.538215 0.340704 4.31132 
16 2.272 0.71025 0.541182 0.342406 4.13826 
16 2.272 0.709433 0.540958 0.343088 4.24378 
16 2.272 0.710292 0.541613 0.343173 4.18011 
16 2.272 0.709037 0.540119 0.341412 4.21234 
16 2.273 0.708655 0.539392 0.341108 4.18974 
16 2.273 0.709965 0.541107 0.342544 4.17363 
16 2.273 0.705751 0.536564 0.338508 4.33381 
16 2.273 0.712726 0.544307 0.345247 4.09165 
16 2.273 0.707765 0.538457 0.340199 4.22639 
16 2.274 0.708688 0.539511 0.34056 4.19594 
16 2.274 0.708162 0.538953 0.340421 4.2171 
16 2.274 0.707473 0.538283 0.340011 4.25143 
16 2.274 0.706015 0.536822 0.338382 4.31904 
16 2.274 0.709648 0.539962 0.340771 4.0936 
16 2.275 0.703199 0.53277 0.33484 4.30769 
16 2.275 0.705345 0.53591 0.337968 4.32088 
16 2.275 0.705527 0.534824 0.335545 4.16988 
16 2.275 0.707235 0.537643 0.339049 4.21539 
16 2.275 0.708359 0.538676 0.339716 4.15278 
16 2.276 0.708597 0.538216 0.338375 4.06115 
16 2.276 0.706589 0.53646 0.337765 4.18329 
16 2.276 0.703287 0.532899 0.334114 4.30647 
16 2.276 0.701666 0.531253 0.333762 4.37741 
16 2.276 0.70948 0.540611 0.342213 4.18961 
16 2.277 0.702088 0.531411 0.333556 4.32655 
16 2.277 0.700491 0.529512 0.331371 4.36503 
16 2.277 0.705888 0.535612 0.33692 4.19738 
16 2.277 0.698112 0.526776 0.329063 4.43144 
16 2.277 0.701987 0.53091 0.332476 4.28617 
16 2.278 0.700957 0.529274 0.330401 4.26287 
16 2.278 0.700093 0.529223 0.33117 4.39322 
16 2.278 0.701675 0.53069 0.332013 4.30888 
16 2.278 0.702005 0.531631 0.333892 4.36245 
