size temperature m ms 
48 2.354 0.301566 33.4312 
48 2.354 0.301585 33.2684 
48 2.354 0.300648 32.9392 
48 2.354 0.301372 33.111 
48 2.355 0.298413 33.1358 
48 2.355 0.296312 32.5636 
48 2.355 0.300998 32.8685 
48 2.355 0.298066 32.5704 
48 2.355 0.294024 32.2311 
48 2.356 0.295415 32.176 
48 2.356 0.298771 33.4726 
48 2.356 0.297462 32.5702 
48 2.356 0.299204 33.373 
48 2.356 0.295586 32.3211 
48 2.357 0.293898 32.2038 
48 2.357 0.290859 32.3965 
48 2.357 0.293028 32.4028 
48 2.357 0.29617 32.5148 
48 2.357 0.294353 31.7443 
48 2.358 0.290192 32.047 
48 2.358 0.295071 32.1398 
48 2.358 0.289194 31.6621 
48 2.358 0.292163 31.7319 
48 2.358 0.296249 31.7424 
48 2.359 0.288562 31.813 
48 2.359 0.286122 31.3697 
48 2.359 0.289682 31.2987 
48 2.359 0.287733 31.7313 
48 2.359 0.283987 31.213 
48 2.36 0.291046 31.3465 
48 2.36 0.289176 30.7703 
48 2.36 0.286816 31.4907 
48 2.36 0.281871 30.9867 
48 2.36 0.288021 31.2288 
48 2.361 0.28209 30.6192 
48 2.361 0.28278 31.3964 
48 2.361 0.285383 31.1976 
48 2.361 0.283557 30.9547 
48 2.361 0.283517 30.6808 
48 2.362 0.286764 31.2843 
48 2.362 0.278738 30.5188 
48 2.362 0.27796 30.7108 
48 2.362 0.282398 30.6747 
48 2.362 0.282742 30.5661 
48 2.363 0.278816 29.9626 
48 2.363 0.280355 30.6341 
48 2.363 0.277131 29.9963 
48 2.363 0.279846 30.0209 
48 2.363 0.281147 30.7533 
48 2.364 0.27729 30.1032 
48 2.364 0.277793 29.8284 
48 2.364 0.276999 30.2082 
48 2.364 0.276883 29.8694 
48 2.364 0.278035 29.9917 
