size temperature m m2 m4 mag_sus e sp_heat 
10 1.695 0.994038 0.988287 0.977371 0.010356 -217.394 0.0969254 
10 1.695 0.994282 0.988753 0.978228 0.00921678 -217.482 0.0922657 
10 1.695 0.994144 0.988485 0.977724 0.00961577 -217.432 0.0952353 
10 1.7 0.99413 0.988458 0.977668 0.00960371 -217.427 0.0919696 
10 1.7 0.993986 0.988169 0.977091 0.00944658 -217.347 0.0960467 
10 1.7 0.994268 0.988725 0.978175 0.00921083 -217.48 0.0921691 
10 1.705 0.993918 0.98804 0.976858 0.00978823 -217.336 0.094887 
10 1.705 0.994038 0.988269 0.977274 0.0092208 -217.356 0.0940491 
10 1.705 0.994084 0.988367 0.977494 0.00963525 -217.398 0.0947533 
10 1.71 0.994082 0.988357 0.977452 0.00923844 -217.383 0.0933581 
10 1.71 0.993958 0.98812 0.977021 0.00982072 -217.352 0.096693 
10 1.71 0.993582 0.987386 0.975619 0.010576 -217.21 0.101673 
10 1.715 0.993602 0.987425 0.97569 0.0104715 -217.212 0.100905 
10 1.715 0.993876 0.987964 0.976732 0.0101561 -217.333 0.0964046 
10 1.715 0.993768 0.987743 0.976275 0.00978438 -217.25 0.0981423 
10 1.72 0.993612 0.987445 0.975732 0.0104601 -217.211 0.101788 
10 1.72 0.99377 0.987747 0.976281 0.00975506 -217.254 0.0964703 
10 1.72 0.993472 0.987172 0.975211 0.0107736 -217.154 0.10225 
10 1.725 0.993478 0.987185 0.975239 0.0108048 -217.147 0.10287 
10 1.725 0.993438 0.987111 0.975117 0.0111502 -217.146 0.104557 
10 1.725 0.99351 0.987238 0.975311 0.0102122 -217.141 0.1014 
10 1.73 0.993342 0.986916 0.974711 0.0108226 -217.106 0.100547 
10 1.73 0.99349 0.987199 0.975233 0.0101954 -217.139 0.0996356 
10 1.73 0.993426 0.987073 0.974992 0.0102949 -217.104 0.102059 
10 1.735 0.993276 0.986786 0.974463 0.0109042 -217.06 0.102813 
10 1.735 0.993212 0.98666 0.974221 0.0109558 -217.028 0.105745 
10 1.735 0.99343 0.98709 0.975055 0.0107709 -217.12 0.102673 
10 1.74 0.993204 0.986645 0.974191 0.0109686 -217.03 0.102808 
10 1.74 0.992998 0.986233 0.973372 0.010803 -216.915 0.107498 
10 1.74 0.993016 0.986275 0.973475 0.0111646 -216.951 0.105335 
10 1.745 0.992864 0.985971 0.972871 0.0110142 -216.87 0.107119 
10 1.745 0.993262 0.986757 0.974402 0.0107644 -217.049 0.101298 
10 1.745 0.992712 0.985685 0.972365 0.0119384 -216.832 0.110756 
10 1.75 0.992684 0.985626 0.972235 0.0116844 -216.819 0.109551 
10 1.75 0.993028 0.9863 0.97353 0.0111744 -216.936 0.107407 
10 1.75 0.993002 0.986247 0.973419 0.0110736 -216.942 0.1052 
10 1.755 0.992844 0.985946 0.972873 0.0117967 -216.902 0.106342 
10 1.755 0.992884 0.986018 0.972991 0.011387 -216.896 0.106823 
10 1.755 0.992608 0.985477 0.971947 0.0117606 -216.775 0.109706 
10 1.76 0.992506 0.985285 0.971607 0.0123386 -216.741 0.112196 
10 1.76 0.992508 0.985285 0.971595 0.0121062 -216.73 0.113452 
10 1.76 0.992514 0.985297 0.971617 0.0121182 -216.754 0.10934 
10 1.765 0.992184 0.984659 0.970414 0.0130193 -216.616 0.114679 
10 1.765 0.992338 0.984952 0.97095 0.0122863 -216.673 0.111973 
10 1.765 0.992552 0.985369 0.971744 0.0118508 -216.744 0.110745 
10 1.77 0.992264 0.9848 0.970637 0.0119952 -216.617 0.112502 
10 1.77 0.992192 0.984678 0.970466 0.0131568 -216.62 0.116159 
10 1.77 0.992102 0.984499 0.970112 0.0131289 -216.582 0.116706 
10 1.775 0.992086 0.984461 0.970019 0.0127396 -216.566 0.115079 
10 1.775 0.992278 0.984838 0.970744 0.0125122 -216.647 0.113694 
10 1.775 0.992074 0.984434 0.969956 0.0125712 -216.571 0.114075 
10 1.78 0.992068 0.984424 0.969939 0.0126272 -216.551 0.114811 
10 1.78 0.992018 0.984326 0.969753 0.012706 -216.534 0.115137 
10 1.78 0.992094 0.984488 0.970107 0.0133267 -216.584 0.117118 
10 1.785 0.991812 0.983924 0.968989 0.0130777 -216.439 0.118116 
10 1.785 0.991768 0.983832 0.96879 0.0127952 -216.423 0.115976 
10 1.785 0.991952 0.9842 0.969527 0.012972 -216.519 0.117981 
10 1.79 0.991654 0.983625 0.968453 0.013836 -216.392 0.123351 
10 1.79 0.99162 0.983558 0.968319 0.0138512 -216.383 0.120907 
10 1.79 0.991542 0.983406 0.968033 0.0140169 -216.361 0.122318 
10 1.795 0.991284 0.982892 0.967013 0.0137956 -216.229 0.123838 
10 1.795 0.9918 0.983912 0.969005 0.0136357 -216.473 0.117998 
10 1.795 0.991266 0.982862 0.966971 0.0141191 -216.232 0.122964 
10 1.8 0.991592 0.9835 0.968198 0.0136325 -216.365 0.120447 
10 1.8 0.99118 0.982712 0.966744 0.0152293 -216.214 0.127833 
10 1.8 0.99138 0.983092 0.967438 0.0142898 -216.284 0.124324 
10 1.805 0.991182 0.982706 0.966707 0.0146639 -216.204 0.126207 
10 1.805 0.991196 0.982731 0.966745 0.0145025 -216.203 0.125738 
10 1.805 0.99111 0.982563 0.966425 0.0146198 -216.162 0.129306 
10 1.81 0.991128 0.98261 0.96655 0.0152093 -216.169 0.128285 
10 1.81 0.99085 0.982056 0.965456 0.0150275 -216.061 0.128838 
10 1.81 0.990796 0.981966 0.965339 0.0159738 -216.1 0.129957 
10 1.815 0.990738 0.98185 0.965111 0.0158951 -216.033 0.133583 
10 1.815 0.990728 0.981833 0.965083 0.0160281 -216.035 0.132581 
10 1.815 0.99063 0.981635 0.964684 0.0158018 -215.986 0.135326 
10 1.82 0.990588 0.981538 0.964449 0.0150228 -215.951 0.130839 
10 1.82 0.9903 0.980998 0.96349 0.0166852 -215.865 0.134695 
10 1.82 0.990504 0.98139 0.964215 0.0160256 -215.947 0.131112 
10 1.825 0.990432 0.981243 0.963916 0.0157618 -215.897 0.132595 
10 1.825 0.98989 0.980199 0.961972 0.0173363 -215.711 0.140488 
10 1.825 0.990336 0.981065 0.963604 0.0163927 -215.858 0.134898 
10 1.83 0.990136 0.980677 0.962877 0.0168208 -215.787 0.138292 
10 1.83 0.990166 0.980719 0.962901 0.0158717 -215.754 0.137793 
10 1.83 0.99019 0.980781 0.963071 0.0166494 -215.817 0.136549 
10 1.835 0.990182 0.980763 0.963032 0.0165039 -215.808 0.137465 
10 1.835 0.989712 0.979839 0.961246 0.0168587 -215.607 0.13929 
10 1.835 0.989896 0.980196 0.96192 0.0164659 -215.66 0.141368 
10 1.84 0.990084 0.980569 0.962651 0.0164431 -215.757 0.137523 
10 1.84 0.989874 0.980147 0.961801 0.0161165 -215.652 0.135225 
10 1.84 0.98999 0.98039 0.962322 0.0168435 -215.7 0.140245 
10 1.845 0.990028 0.980456 0.962422 0.0162861 -215.726 0.136183 
10 1.845 0.989916 0.980242 0.96203 0.0167021 -215.684 0.139414 
10 1.845 0.98983 0.980096 0.961813 0.0180407 -215.656 0.140573 
10 1.85 0.989772 0.979954 0.961458 0.0165248 -215.634 0.135251 
10 1.85 0.989824 0.980063 0.961682 0.0168286 -215.635 0.137411 
10 1.85 0.989498 0.979443 0.960561 0.0182264 -215.54 0.142342 
10 1.855 0.988972 0.978405 0.958545 0.0183193 -215.309 0.1475 
10 1.855 0.98915 0.978764 0.959266 0.0186608 -215.376 0.148731 
10 1.855 0.989388 0.979209 0.960052 0.0172909 -215.461 0.141064 
10 1.86 0.98866 0.977805 0.957431 0.0191465 -215.207 0.150673 
10 1.86 0.98923 0.97892 0.959563 0.0184713 -215.423 0.147292 
10 1.86 0.988856 0.978185 0.958143 0.0187382 -215.261 0.149871 
10 1.865 0.988958 0.978376 0.958479 0.0181252 -215.286 0.144146 
10 1.865 0.988922 0.978317 0.958412 0.0187774 -215.274 0.153191 
10 1.865 0.98877 0.978025 0.957863 0.0192433 -215.23 0.15075 
10 1.87 0.988646 0.977771 0.957347 0.0187298 -215.202 0.148257 
10 1.87 0.988662 0.9778 0.957386 0.0185609 -215.168 0.149496 
10 1.87 0.988498 0.977487 0.956816 0.0191606 -215.128 0.150961 
10 1.875 0.988754 0.977998 0.957809 0.0193903 -215.226 0.145394 
10 1.875 0.988382 0.977262 0.956387 0.019342 -215.059 0.151632 
10 1.875 0.98821 0.976926 0.955753 0.0195795 -215.012 0.152779 
10 1.88 0.988108 0.976727 0.955368 0.0196564 -214.955 0.153448 
10 1.88 0.988416 0.977339 0.956575 0.0198368 -215.085 0.154096 
10 1.88 0.988394 0.977277 0.956398 0.0188628 -215.059 0.152882 
10 1.885 0.988046 0.97662 0.95522 0.0204489 -214.953 0.157665 
10 1.885 0.988398 0.977278 0.956374 0.0184485 -215.039 0.149581 
10 1.885 0.98793 0.976384 0.954738 0.0200889 -214.886 0.157453 
10 1.89 0.98783 0.976192 0.95438 0.0203138 -214.849 0.158467 
10 1.89 0.987944 0.976411 0.954785 0.0199584 -214.88 0.159961 
10 1.89 0.987534 0.975631 0.953364 0.0215491 -214.745 0.16415 
10 1.895 0.987994 0.976515 0.955005 0.0201824 -214.913 0.157555 
10 1.895 0.987172 0.974892 0.951849 0.0202555 -214.536 0.163502 
10 1.895 0.987336 0.97524 0.952609 0.0215189 -214.67 0.164238 
10 1.9 0.987468 0.975493 0.953065 0.0210352 -214.695 0.161795 
10 1.9 0.98735 0.975285 0.952748 0.0223462 -214.694 0.166962 
10 1.9 0.987558 0.975669 0.953394 0.0209493 -214.732 0.155523 
10 1.905 0.987236 0.975032 0.95217 0.0208609 -214.605 0.163391 
10 1.905 0.986858 0.97431 0.95084 0.0221043 -214.454 0.16867 
10 1.905 0.987462 0.975475 0.953014 0.0206886 -214.696 0.157788 
10 1.91 0.986782 0.974159 0.950546 0.0220296 -214.431 0.166472 
10 1.91 0.98699 0.974579 0.951389 0.0225204 -214.536 0.16406 
10 1.91 0.98684 0.974271 0.950749 0.0218688 -214.43 0.164926 
10 1.915 0.986536 0.973686 0.949671 0.0226006 -214.366 0.16922 
10 1.915 0.986884 0.974352 0.950897 0.0215379 -214.467 0.165411 
10 1.915 0.98679 0.974186 0.950636 0.0225178 -214.467 0.167183 
10 1.92 0.986336 0.973322 0.949052 0.0241341 -214.274 0.173088 
10 1.92 0.986756 0.974106 0.950432 0.0218019 -214.373 0.167821 
10 1.92 0.986382 0.973404 0.949193 0.0236766 -214.333 0.168113 
10 1.925 0.986242 0.97314 0.948721 0.0242471 -214.239 0.176925 
10 1.925 0.986026 0.972738 0.948017 0.0254986 -214.219 0.177008 
10 1.925 0.985768 0.97222 0.946964 0.0249855 -214.056 0.176554 
10 1.93 0.986082 0.972807 0.948015 0.0232958 -214.157 0.171794 
10 1.93 0.986024 0.972711 0.947891 0.0242213 -214.154 0.177053 
10 1.93 0.985872 0.972413 0.947309 0.0243399 -214.091 0.173647 
10 1.935 0.98558 0.971847 0.946249 0.0247392 -213.998 0.175846 
10 1.935 0.98591 0.972486 0.947443 0.0241732 -214.102 0.172338 
10 1.935 0.985438 0.971598 0.945857 0.0263477 -213.926 0.182601 
10 1.94 0.985108 0.970954 0.944644 0.0266221 -213.854 0.179243 
10 1.94 0.985716 0.972111 0.946743 0.0244973 -214.02 0.174965 
10 1.94 0.98547 0.971626 0.945812 0.0244639 -213.921 0.178721 
10 1.945 0.985246 0.971181 0.944935 0.0242447 -213.806 0.178748 
10 1.945 0.985208 0.97113 0.944914 0.0254559 -213.845 0.181491 
10 1.945 0.985032 0.970789 0.944271 0.0257706 -213.755 0.181722 
10 1.95 0.984792 0.970316 0.943356 0.0256901 -213.68 0.180095 
10 1.95 0.984962 0.970645 0.943973 0.025361 -213.719 0.183236 
10 1.95 0.984926 0.970572 0.943824 0.0252479 -213.71 0.180468 
10 1.955 0.984702 0.970153 0.94308 0.0263249 -213.625 0.182957 
10 1.955 0.984572 0.969894 0.94258 0.0261881 -213.575 0.186797 
10 1.955 0.984624 0.97002 0.942886 0.0273708 -213.61 0.185334 
10 1.96 0.98454 0.969839 0.942502 0.0265525 -213.571 0.186975 
10 1.96 0.984308 0.969389 0.941654 0.0268899 -213.494 0.19022 
