nth step2 temp ene nn nnn nnnn 
1 1024 2.493 -188 -172 -172 -168
1 1024 2.493 -140 -132 -124 -128
1 1024 2.493 -166.4 -152 -140 -132
1 1024 2.493 -156 -144 -128 -128
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -184 -168 -156 -152
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -183.2 -168 -160 -152
1 1024 2.493 -175.2 -160 -144 -136
1 1024 2.493 -112.8 -104 -64 -44
1 1024 2.493 -143.2 -132 -124 -120
1 1024 2.493 -210.4 -192 -192 -192
1 1024 2.493 -146.4 -136 -120 -120
1 1024 2.493 -157.6 -144 -120 -116
1 1024 2.493 -141.6 -128 -96 -76
1 1024 2.493 -160.8 -148 -132 -132
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -165.6 -152 -136 -124
1 1024 2.493 -153.6 -140 -120 -104
1 1024 2.493 -154.4 -140 -116 -100
1 1024 2.493 -163.2 -152 -156 -156
1 1024 2.493 -152 -140 -120 -116
1 1024 2.493 -170.4 -156 -140 -136
1 1024 2.493 -160.8 -148 -132 -116
1 1024 2.493 -187.2 -172 -168 -168
1 1024 2.493 -148.8 -136 -108 -84
1 1024 2.493 -177.6 -164 -160 -160
1 1024 2.493 -187.2 -172 -168 -168
1 1024 2.493 -164.8 -152 -148 -148
1 1024 2.493 -168.8 -156 -148 -128
1 1024 2.493 -183.2 -168 -160 -148
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -173.6 -160 -152 -144
1 1024 2.493 -166.4 -152 -132 -144
1 1024 2.493 -170.4 -156 -140 -132
1 1024 2.493 -188 -172 -164 -160
1 1024 2.493 -200.8 -184 -184 -184
1 1024 2.493 -220 -200 -200 -200
1 1024 2.493 -192.8 -176 -168 -160
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -156 -144 -128 -140
1 1024 2.493 -138.4 -128 -104 -96
1 1024 2.493 -187.2 -172 -168 -168
1 1024 2.493 -174.4 -160 -156 -152
1 1024 2.493 -152 -140 -120 -104
1 1024 2.493 -126.4 -116 -88 -72
1 1024 2.493 -187.2 -172 -168 -168
1 1024 2.493 -139.2 -128 -100 -96
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -161.6 -148 -144 -144
1 1024 2.493 -165.6 -152 -144 -136
1 1024 2.493 -177.6 -164 -160 -160
1 1024 2.493 -168.8 -156 -148 -144
1 1024 2.493 -196.8 -180 -176 -176
1 1024 2.493 -202.4 -184 -176 -180
1 1024 2.493 -168.8 -156 -156 -152
1 1024 2.493 -174.4 -160 -156 -152
1 1024 2.493 -187.2 -172 -168 -168
1 1024 2.493 -165.6 -152 -136 -140
1 1024 2.493 -156.8 -144 -124 -132
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -197.6 -180 -172 -164
1 1024 2.493 -220 -200 -200 -200
1 1024 2.493 -220 -200 -200 -200
1 1024 2.493 -183.2 -168 -176 -176
1 1024 2.493 -169.6 -156 -144 -128
1 1024 2.493 -200.8 -184 -184 -188
1 1024 2.493 -139.2 -128 -108 -104
1 1024 2.493 -160.8 -148 -140 -136
1 1024 2.493 -188 -172 -172 -168
1 1024 2.493 -210.4 -192 -192 -192
1 1024 2.493 -187.2 -172 -168 -168
1 1024 2.493 -187.2 -172 -168 -164
1 1024 2.493 -192 -176 -172 -168
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -141.6 -132 -116 -112
1 1024 2.493 -220 -200 -200 -200
1 1024 2.493 -138.4 -128 -104 -100
1 1024 2.493 -168 -156 -152 -152
1 1024 2.493 -168.8 -156 -148 -144
1 1024 2.493 -168.8 -156 -156 -152
1 1024 2.493 -116.8 -112 -108 -92
1 1024 2.493 -187.2 -172 -168 -168
1 1024 2.493 -116.8 -108 -72 -52
1 1024 2.493 -191.2 -176 -176 -176
1 1024 2.493 -193.6 -176 -164 -152
1 1024 2.493 -188 -172 -164 -160
1 1024 2.493 -187.2 -172 -168 -164
1 1024 2.493 -206.4 -188 -184 -184
1 1024 2.493 -176.8 -160 -144 -124
