sizes temp ene 
10 1.575 -217.126 
10 1.575 -217.252 
10 1.575 -217.179 
10 1.575 -217.187 
10 1.575 -217.172 
10 1.575 -217.258 
10 1.575 -217.184 
10 1.575 -217.212 
10 1.575 -217.084 
10 1.575 -217.169 
10 1.58 -217.133 
10 1.58 -217.135 
10 1.58 -217.081 
10 1.58 -217.106 
10 1.58 -217.131 
10 1.58 -217.001 
10 1.58 -217.173 
10 1.58 -217.095 
10 1.58 -217.1 
10 1.58 -217.146 
10 1.58 -217.115 
10 1.58 -217.197 
10 1.58 -217.206 
10 1.58 -217.099 
10 1.58 -217.129 
10 1.58 -217.176 
10 1.58 -217.092 
10 1.58 -217.153 
10 1.58 -217.036 
10 1.58 -217.15 
10 1.58 -217.232 
10 1.58 -217.024 
10 1.58 -217.191 
10 1.58 -217.11 
10 1.58 -217.09 
10 1.585 -216.941 
10 1.585 -217.007 
10 1.585 -217.03 
10 1.585 -217.029 
10 1.585 -217.042 
10 1.585 -217.046 
10 1.585 -217.052 
10 1.585 -217.077 
10 1.585 -217.036 
10 1.585 -217.043 
10 1.585 -217.007 
10 1.585 -217.129 
10 1.585 -217.075 
10 1.585 -217.023 
10 1.585 -217.121 
10 1.585 -217.129 
10 1.585 -217.113 
10 1.585 -217.061 
10 1.585 -217.103 
10 1.585 -217.063 
10 1.585 -217.154 
10 1.585 -217.03 
10 1.585 -217.103 
10 1.585 -217.071 
10 1.585 -217.168 
10 1.59 -217.012 
10 1.59 -217.053 
10 1.59 -216.984 
10 1.59 -216.901 
10 1.59 -217.012 
10 1.59 -217.05 
10 1.59 -216.987 
10 1.59 -217.049 
10 1.59 -216.969 
10 1.59 -216.924 
10 1.59 -217.016 
10 1.59 -217.035 
10 1.59 -217.111 
10 1.59 -217.086 
10 1.59 -216.955 
10 1.59 -217.023 
10 1.59 -216.962 
10 1.59 -216.976 
10 1.59 -216.953 
10 1.59 -216.985 
10 1.59 -216.963 
10 1.59 -216.965 
10 1.59 -216.867 
10 1.59 -216.991 
10 1.59 -216.974 
10 1.595 -216.87 
10 1.595 -216.83 
10 1.595 -216.91 
10 1.595 -216.872 
10 1.595 -216.904 
10 1.595 -216.837 
10 1.595 -216.998 
10 1.595 -216.883 
10 1.595 -216.876 
10 1.595 -216.971 
10 1.595 -216.929 
10 1.595 -216.969 
10 1.595 -216.878 
10 1.595 -216.874 
10 1.595 -216.913 
10 1.595 -216.933 
10 1.595 -216.918 
10 1.595 -216.987 
10 1.595 -216.872 
10 1.595 -216.935 
10 1.595 -216.926 
10 1.595 -217.025 
10 1.595 -216.959 
10 1.595 -216.982 
10 1.595 -216.948 
10 1.6 -216.828 
10 1.6 -216.896 
10 1.6 -216.951 
10 1.6 -216.854 
10 1.6 -216.935 
10 1.6 -216.717 
10 1.6 -216.82 
10 1.6 -216.75 
10 1.6 -216.927 
10 1.6 -216.915 
10 1.6 -216.858 
10 1.6 -216.864 
10 1.6 -216.943 
10 1.6 -216.919 
10 1.6 -216.891 
10 1.6 -216.905 
10 1.6 -216.913 
10 1.6 -216.826 
10 1.6 -216.885 
10 1.6 -216.7 
10 1.6 -216.848 
10 1.6 -216.885 
10 1.6 -216.836 
10 1.6 -217.012 
10 1.6 -216.914 
10 1.605 -216.795 
10 1.605 -216.776 
10 1.605 -216.802 
10 1.605 -216.796 
10 1.605 -216.787 
10 1.605 -216.881 
10 1.605 -216.79 
10 1.605 -216.792 
10 1.605 -216.832 
10 1.605 -216.684 
10 1.605 -216.819 
10 1.605 -216.772 
10 1.605 -216.659 
10 1.605 -216.767 
10 1.605 -216.855 
10 1.605 -216.73 
10 1.605 -216.798 
10 1.605 -216.728 
10 1.605 -216.813 
10 1.605 -216.77 
10 1.605 -216.876 
10 1.605 -216.869 
10 1.605 -216.736 
10 1.605 -216.814 
10 1.605 -216.738 
10 1.61 -216.784 
10 1.61 -216.795 
10 1.61 -216.807 
10 1.61 -216.737 
10 1.61 -216.782 
10 1.61 -216.792 
10 1.61 -216.709 
10 1.61 -216.79 
10 1.61 -216.845 
10 1.61 -216.798 
10 1.61 -216.715 
10 1.61 -216.628 
10 1.61 -216.798 
10 1.61 -216.778 
10 1.61 -216.729 
10 1.61 -216.731 
10 1.61 -216.768 
10 1.61 -216.613 
10 1.61 -216.728 
10 1.61 -216.655 
10 1.61 -216.752 
10 1.61 -216.673 
10 1.61 -216.641 
10 1.61 -216.657 
10 1.61 -216.732 
10 1.615 -216.675 
10 1.615 -216.678 
10 1.615 -216.605 
10 1.615 -216.737 
10 1.615 -216.647 
10 1.615 -216.634 
10 1.615 -216.653 
10 1.615 -216.609 
10 1.615 -216.659 
10 1.615 -216.703 
10 1.615 -216.592 
10 1.615 -216.549 
10 1.615 -216.673 
10 1.615 -216.586 
10 1.615 -216.605 
10 1.615 -216.692 
10 1.615 -216.645 
10 1.615 -216.658 
10 1.615 -216.654 
10 1.615 -216.714 
10 1.615 -216.646 
10 1.615 -216.596 
10 1.615 -216.605 
10 1.615 -216.623 
10 1.615 -216.697 
10 1.62 -216.647 
10 1.62 -216.715 
10 1.62 -216.632 
10 1.62 -216.621 
10 1.62 -216.605 
10 1.62 -216.608 
10 1.62 -216.58 
10 1.62 -216.573 
10 1.62 -216.523 
10 1.62 -216.563 
10 1.62 -216.564 
10 1.62 -216.52 
10 1.62 -216.626 
10 1.62 -216.516 
10 1.62 -216.592 
10 1.62 -216.509 
10 1.62 -216.512 
10 1.62 -216.69 
10 1.62 -216.556 
10 1.62 -216.662 
10 1.62 -216.537 
10 1.62 -216.538 
10 1.62 -216.571 
10 1.62 -216.602 
10 1.62 -216.586 
10 1.625 -216.525 
10 1.625 -216.573 
10 1.625 -216.521 
10 1.625 -216.466 
10 1.625 -216.522 
10 1.625 -216.498 
10 1.625 -216.524 
10 1.625 -216.548 
10 1.625 -216.462 
10 1.625 -216.536 
10 1.625 -216.536 
10 1.625 -216.487 
10 1.625 -216.622 
10 1.625 -216.549 
10 1.625 -216.601 
10 1.625 -216.455 
10 1.625 -216.53 
10 1.625 -216.524 
10 1.625 -216.567 
10 1.625 -216.613 
10 1.625 -216.54 
10 1.625 -216.462 
10 1.625 -216.437 
10 1.625 -216.531 
10 1.625 -216.613 
10 1.63 -216.561 
10 1.63 -216.428 
10 1.63 -216.399 
10 1.63 -216.5 
10 1.63 -216.412 
10 1.63 -216.486 
10 1.63 -216.553 
10 1.63 -216.535 
10 1.63 -216.449 
10 1.63 -216.421 
10 1.63 -216.412 
10 1.63 -216.445 
10 1.63 -216.502 
10 1.63 -216.476 
10 1.63 -216.478 
10 1.63 -216.623 
10 1.63 -216.334 
10 1.63 -216.439 
10 1.63 -216.502 
10 1.63 -216.552 
10 1.63 -216.443 
10 1.63 -216.395 
10 1.63 -216.47 
10 1.63 -216.448 
10 1.63 -216.422 
10 1.635 -216.259 
10 1.635 -216.384 
10 1.635 -216.387 
10 1.635 -216.329 
10 1.635 -216.46 
10 1.635 -216.466 
10 1.635 -216.388 
10 1.635 -216.475 
10 1.635 -216.343 
10 1.635 -216.364 
10 1.635 -216.214 
10 1.635 -216.309 
10 1.635 -216.247 
10 1.635 -216.406 
10 1.635 -216.311 
10 1.635 -216.258 
10 1.635 -216.234 
10 1.635 -216.472 
10 1.635 -216.329 
10 1.635 -216.383 
10 1.635 -216.447 
10 1.635 -216.33 
10 1.635 -216.336 
10 1.635 -216.441 
10 1.635 -216.429 
10 1.64 -216.269 
10 1.64 -216.407 
10 1.64 -216.375 
10 1.64 -216.403 
10 1.64 -216.266 
10 1.64 -216.349 
10 1.64 -216.272 
10 1.64 -216.296 
10 1.64 -216.23 
10 1.64 -216.332 
10 1.64 -216.334 
10 1.64 -216.456 
10 1.64 -216.155 
10 1.64 -216.353 
10 1.64 -216.314 
10 1.64 -216.281 
10 1.64 -216.239 
10 1.64 -216.147 
10 1.64 -216.295 
10 1.64 -216.424 
10 1.64 -216.262 
10 1.64 -216.241 
10 1.64 -216.267 
10 1.64 -216.288 
10 1.64 -216.332 
10 1.645 -216.144 
10 1.645 -216.256 
10 1.645 -216.163 
10 1.645 -216.221 
10 1.645 -216.113 
10 1.645 -216.198 
10 1.645 -216.273 
10 1.645 -216.272 
10 1.645 -216.226 
10 1.645 -216.367 
10 1.645 -216.159 
10 1.645 -216.243 
10 1.645 -216.171 
10 1.645 -216.244 
10 1.645 -216.297 
10 1.645 -216.207 
10 1.645 -216.242 
10 1.645 -216.315 
10 1.645 -216.207 
10 1.645 -216.234 
10 1.645 -216.222 
10 1.645 -216.355 
10 1.645 -216.287 
10 1.645 -216.162 
10 1.645 -216.294 
10 1.65 -216.16 
10 1.65 -216.226 
