sizes temp ene 
10 3.225 -92.447 
10 3.225 -91.5986 
10 3.225 -92.2831 
10 3.225 -92.3714 
10 3.225 -92.1874 
10 3.225 -92.592 
10 3.225 -92.1379 
10 3.225 -92.1886 
10 3.225 -92.5122 
10 3.225 -93.2444 
10 3.225 -92.37 
10 3.225 -92.4486 
10 3.225 -93.0358 
10 3.225 -92.1306 
10 3.225 -92.8443 
10 3.225 -92.3342 
10 3.225 -92.2465 
10 3.225 -92.6692 
10 3.23 -92.072 
10 3.23 -91.4646 
10 3.23 -91.9798 
10 3.23 -91.95 
10 3.23 -92.1308 
10 3.23 -91.7645 
10 3.23 -91.8103 
10 3.23 -92.3941 
10 3.23 -91.5886 
10 3.23 -92.3927 
10 3.23 -91.8219 
10 3.23 -91.9812 
10 3.23 -92.2966 
10 3.23 -92.4127 
10 3.23 -91.6422 
10 3.23 -91.974 
10 3.23 -92.0747 
10 3.23 -92.1158 
10 3.23 -92.4514 
10 3.23 -92.6286 
10 3.23 -92.1226 
10 3.23 -91.4354 
10 3.23 -92.2992 
10 3.23 -91.9237 
10 3.23 -92.1428 
10 3.235 -91.9137 
10 3.235 -92.2646 
10 3.235 -91.9092 
10 3.235 -92.0469 
10 3.235 -91.961 
10 3.235 -91.8819 
10 3.235 -91.661 
10 3.235 -92.0526 
10 3.235 -91.8183 
10 3.235 -92.5392 
10 3.235 -91.3507 
10 3.235 -91.3577 
10 3.235 -92.0152 
10 3.235 -92.1822 
10 3.235 -91.699 
10 3.235 -91.9722 
10 3.235 -92.0146 
10 3.235 -91.7375 
10 3.235 -92.0833 
10 3.235 -91.8934 
10 3.235 -91.7846 
10 3.235 -91.6209 
10 3.235 -92.7594 
10 3.235 -91.6206 
10 3.235 -91.5757 
10 3.24 -91.1295 
10 3.24 -91.7294 
10 3.24 -91.8041 
10 3.24 -91.3747 
10 3.24 -91.5445 
10 3.24 -91.6234 
10 3.24 -91.5114 
10 3.24 -91.9 
10 3.24 -91.6155 
10 3.24 -92.0902 
10 3.24 -91.5641 
10 3.24 -91.5385 
10 3.24 -92.0358 
10 3.24 -91.7135 
10 3.24 -91.7335 
10 3.24 -91.6935 
10 3.24 -91.3426 
10 3.24 -91.8108 
10 3.24 -91.7493 
10 3.24 -91.6195 
10 3.24 -92.0296 
10 3.24 -91.7966 
10 3.24 -91.9874 
10 3.24 -91.6811 
10 3.24 -91.8175 
10 3.245 -91.079 
10 3.245 -91.3655 
10 3.245 -91.645 
10 3.245 -91.587 
10 3.245 -91.2426 
10 3.245 -91.3619 
10 3.245 -91.2392 
10 3.245 -91.2662 
10 3.245 -91.2883 
10 3.245 -91.4346 
10 3.245 -91.0529 
10 3.245 -92.029 
10 3.245 -91.7822 
10 3.245 -91.4046 
10 3.245 -90.9738 
10 3.245 -91.5526 
10 3.245 -91.5103 
10 3.245 -91.6759 
10 3.245 -91.0659 
10 3.245 -91.5054 
10 3.245 -91.2244 
10 3.245 -91.1793 
10 3.245 -91.4857 
10 3.245 -91.5559 
10 3.245 -91.1768 
10 3.25 -91.2246 
10 3.25 -90.721 
10 3.25 -90.6285 
10 3.25 -91.5896 
10 3.25 -90.6966 
10 3.25 -91.435 
10 3.25 -91.613 
10 3.25 -91.0486 
10 3.25 -90.934 
10 3.25 -90.8636 
10 3.25 -91.3314 
10 3.25 -90.9118 
10 3.25 -91.1476 
10 3.25 -91.4934 
10 3.25 -90.8352 
10 3.25 -91.1558 
10 3.25 -90.9337 
10 3.25 -90.7738 
10 3.25 -91.5396 
10 3.25 -90.9374 
10 3.25 -91.1026 
10 3.25 -91.3469 
10 3.25 -90.7836 
10 3.25 -91.051 
10 3.25 -91.0232 
10 3.255 -90.4819 
10 3.255 -91.2098 
10 3.255 -90.9774 
10 3.255 -90.9686 
10 3.255 -90.7661 
10 3.255 -91.2913 
10 3.255 -91.3144 
10 3.255 -90.8351 
10 3.255 -90.9302 
10 3.255 -90.9158 
10 3.255 -91.3474 
10 3.255 -91.0724 
10 3.255 -90.8855 
10 3.255 -90.251 
10 3.255 -91.0221 
10 3.255 -90.9754 
10 3.255 -90.6747 
10 3.255 -91.2179 
10 3.255 -91.0052 
10 3.255 -90.9555 
10 3.255 -90.8341 
10 3.255 -90.2826 
10 3.255 -90.2981 
10 3.255 -90.8516 
10 3.255 -90.7127 
10 3.26 -90.4114 
10 3.26 -90.6659 
10 3.26 -90.7562 
10 3.26 -91.0765 
10 3.26 -90.4254 
10 3.26 -91.0538 
10 3.26 -90.7476 
10 3.26 -90.7113 
10 3.26 -90.9414 
10 3.26 -90.5797 
10 3.26 -90.6119 
10 3.26 -90.3476 
10 3.26 -90.2663 
10 3.26 -90.7518 
10 3.26 -90.5392 
