J: 8.67113 1.22595 -0.0682711 -0.0198965 
nth step2 temperature e 
3 1024 1.555 -214.125 
3 1024 1.56 -213.837 
3 1024 1.56 -213.666 
3 1024 1.56 -214.044 
3 1024 1.56 -213.711 
3 1024 1.56 -213.341 
3 1024 1.56 -213.606 
3 1024 1.56 -213.691 
3 1024 1.56 -214.305 
3 1024 1.56 -213.88 
3 1024 1.56 -213.886 
3 1024 1.56 -214.009 
3 1024 1.56 -213.761 
3 1024 1.56 -214.136 
3 1024 1.56 -214.107 
3 1024 1.56 -213.701 
3 1024 1.56 -213.82 
3 1024 1.56 -214.073 
3 1024 1.56 -213.932 
3 1024 1.56 -213.92 
3 1024 1.56 -213.398 
3 1024 1.56 -213.963 
3 1024 1.56 -213.638 
3 1024 1.56 -214.218 
3 1024 1.56 -213.48 
3 1024 1.56 -213.759 
3 1024 1.565 -213.888 
3 1024 1.565 -213.946 
3 1024 1.565 -213.823 
3 1024 1.565 -214.074 
3 1024 1.565 -213.357 
3 1024 1.565 -213.65 
3 1024 1.565 -213.506 
3 1024 1.565 -213.287 
3 1024 1.565 -213.371 
3 1024 1.565 -213.61 
3 1024 1.565 -213.668 
3 1024 1.565 -214.19 
3 1024 1.565 -213.865 
3 1024 1.565 -213.677 
3 1024 1.565 -213.616 
3 1024 1.565 -213.386 
3 1024 1.565 -213.837 
3 1024 1.565 -213.615 
3 1024 1.565 -213.985 
3 1024 1.565 -213.788 
3 1024 1.565 -213.531 
3 1024 1.565 -213.451 
3 1024 1.565 -213.989 
3 1024 1.565 -213.673 
3 1024 1.565 -213.771 
3 1024 1.57 -213.79 
3 1024 1.57 -213.552 
3 1024 1.57 -213.58 
3 1024 1.57 -213.752 
3 1024 1.57 -213.602 
3 1024 1.57 -213.87 
3 1024 1.57 -213.94 
3 1024 1.57 -213.864 
3 1024 1.57 -213.459 
3 1024 1.57 -214.302 
3 1024 1.57 -213.499 
3 1024 1.57 -214.044 
3 1024 1.57 -213.444 
3 1024 1.57 -213.325 
3 1024 1.57 -213.745 
3 1024 1.57 -213.912 
3 1024 1.57 -213.068 
3 1024 1.57 -213.576 
3 1024 1.57 -213.589 
3 1024 1.57 -213.352 
3 1024 1.57 -213.422 
3 1024 1.57 -213.186 
3 1024 1.57 -212.928 
3 1024 1.57 -213.418 
3 1024 1.57 -213.328 
3 1024 1.575 -213.812 
3 1024 1.575 -213.603 
3 1024 1.575 -213.309 
3 1024 1.575 -213.538 
3 1024 1.575 -213.559 
3 1024 1.575 -213.637 
3 1024 1.575 -213.112 
3 1024 1.575 -213.72 
3 1024 1.575 -213.706 
3 1024 1.575 -213.609 
3 1024 1.575 -213.127 
3 1024 1.575 -213.574 
3 1024 1.575 -213.579 
3 1024 1.575 -213.42 
3 1024 1.575 -213.63 
3 1024 1.575 -213.779 
3 1024 1.575 -213.609 
3 1024 1.575 -213.404 
3 1024 1.575 -213.283 
3 1024 1.575 -213.22 
3 1024 1.575 -213.419 
3 1024 1.575 -213.767 
3 1024 1.575 -212.841 
3 1024 1.575 -213.516 
3 1024 1.575 -213.188 
3 1024 1.58 -213.3 
3 1024 1.58 -213.641 
3 1024 1.58 -213.332 
3 1024 1.58 -213.07 
3 1024 1.58 -213.29 
3 1024 1.58 -213.281 
3 1024 1.58 -213.268 
3 1024 1.58 -213.285 
3 1024 1.58 -213.436 
3 1024 1.58 -213.228 
3 1024 1.58 -213.213 
3 1024 1.58 -213.296 
3 1024 1.58 -213.068 
3 1024 1.58 -213.417 
3 1024 1.58 -212.918 
3 1024 1.58 -213.112 
3 1024 1.58 -213.511 
3 1024 1.58 -213.524 
3 1024 1.58 -213.878 
3 1024 1.58 -213.559 
3 1024 1.58 -213.13 
3 1024 1.58 -213.317 
3 1024 1.58 -212.918 
3 1024 1.58 -212.91 
3 1024 1.58 -213.329 
3 1024 1.585 -213.345 
3 1024 1.585 -213.288 
3 1024 1.585 -212.9 
3 1024 1.585 -213.317 
3 1024 1.585 -212.989 
3 1024 1.585 -213.336 
3 1024 1.585 -213.125 
3 1024 1.585 -213.123 
3 1024 1.585 -212.761 
3 1024 1.585 -213.278 
3 1024 1.585 -213.07 
3 1024 1.585 -213.202 
3 1024 1.585 -212.946 
3 1024 1.585 -212.959 
3 1024 1.585 -213.029 
3 1024 1.585 -213.284 
3 1024 1.585 -213.181 
3 1024 1.585 -212.77 
3 1024 1.585 -213.386 
3 1024 1.585 -213.562 
3 1024 1.585 -212.962 
3 1024 1.585 -213.008 
3 1024 1.585 -213.316 
3 1024 1.585 -213.105 
3 1024 1.585 -213.014 
3 1024 1.59 -213.23 
3 1024 1.59 -213.241 
3 1024 1.59 -212.868 
3 1024 1.59 -212.896 
3 1024 1.59 -212.377 
3 1024 1.59 -212.859 
3 1024 1.59 -213.262 
3 1024 1.59 -213.155 
3 1024 1.59 -213.008 
3 1024 1.59 -213.191 
3 1024 1.59 -213.176 
3 1024 1.59 -212.587 
3 1024 1.59 -213.216 
3 1024 1.59 -212.995 
3 1024 1.59 -212.551 
3 1024 1.59 -213.314 
3 1024 1.59 -213.252 
3 1024 1.59 -212.831 
